clone_id,titer_mean,titer_std,titer_min,titer_max,vcd_mean,vcd_std,vcd_min,vcd_max,viability_mean,viability_std,viability_min,viability_max,aggregation_mean,aggregation_std,aggregation_min,aggregation_max,titer_slope,vcd_slope,viability_slope,aggregation_slope,titer_p10,vcd_p10,viability_p10,aggregation_p10,titer_slope_3_6,titer_slope_7_10,titer_curvature,vcd_slope_3_6,vcd_slope_7_10,vcd_curvature,viability_slope_3_6,viability_slope_7_10,viability_curvature,aggregation_slope_3_6,aggregation_slope_7_10,aggregation_curvature,qP_mean,qP_p10,titer_cv,vcd_cv,viability_cv,aggregation_cv,culture_mode_fed-batch,culture_mode_perfusion,ddpcr_cn
CLONE_0001,3.0115137803416547,0.2758867675151178,2.6147467351540823,3.395050665017638,11564069.741846912,892108.3310812584,10199572.082374668,12773383.884629792,95.0050592643355,1.330631928524139,93.43979561823087,97.11210604783543,5.560025874283036,0.17332753438812204,5.252137760754038,5.780231527707147,-0.10111548175917731,-89978.37396389773,0.002936582141342252,0.021168029316228267,2.6987868686829835,11853094.486500116,94.38048442676438,5.778305332065473,-0.05944707885033068,-0.14436969675004513,-0.08492261789971445,-365504.9092630126,-202602.93589886226,162901.97336415033,0.7302572862613054,-0.7977826183364496,-1.528039904597755,-0.11517334616437735,-0.009260512070907128,0.10591283409347023,2.604198908835603e-07,2.2768626975484936e-07,0.09161066079936979,0.07714484182441281,0.014005905988731346,0.031173871898446646,True,False,3.0
CLONE_0002,0.9700175154270542,0.16204611742597058,0.7485425256007621,1.1813802525012682,13845441.275932461,767965.0152477864,12823536.582578741,15464461.871250635,96.03331881656892,1.537036155874761,92.72161067454638,97.64928469485598,3.6358646534293846,0.37476180464056047,2.8418530206359893,4.143193906476969,-0.05079540431216517,-80474.09629780008,0.12343438876463457,0.04799210554307477,0.7564764230104017,13624070.737918966,95.39933686557848,3.490329787195868,-0.049462130479501536,-0.13651729225985929,-0.08705516178035774,-416353.60967427044,-164692.0576552109,251661.55201905954,1.0483018507099566,-0.4891830223924413,-1.537484873102398,0.2531636700918175,-0.06160905206315878,-0.3147727221549763,7.006042610669521e-08,5.552499231415111e-08,0.1670548363114601,0.05546699451051375,0.016005238336025997,0.10307364004433105,False,True,2.0
CLONE_0003,5.296261221990248,0.36673423677304123,4.907029840407666,6.014128682116324,8502629.296441734,917296.8982916599,7015067.346366109,9416054.387709433,94.57148343325872,1.8464056947885419,91.23194404998674,96.98981170468544,6.64305750142789,0.17619037921717404,6.468352254266501,7.008400417560277,-0.13387452031600403,91790.01264210684,-0.019697226227672386,0.02046005826848381,4.907029840407666,9221513.28884677,93.451151152992,6.545414196656958,-0.26496860536671085,-0.06789786283708972,0.19707074252962115,79674.73515055666,606531.1239173963,526856.3887668396,-0.43168825440386976,-0.07562916976534402,0.35605908463852576,0.03292394006862756,0.0008118850210056009,-0.03211205504762196,6.228968754649435e-07,5.321284789929887e-07,0.06924398577266258,0.10788391053053899,0.019523915960058605,0.026522482930906494,True,False,4.0
CLONE_0004,0.6376195093952091,0.1966505983751632,0.40881741148349693,0.8877791046725331,15173928.165950872,647763.3027058326,14229854.51572811,15980097.207596987,97.33119413213046,1.337061384708545,95.5679354561541,99.82771551394437,8.857504678841398,0.25540393700782377,8.508283888379758,9.14952601113576,-0.017199682629042805,22008.834248414452,0.2114521690477601,0.05484242479881075,0.40881741148349693,15980097.207596987,99.82771551394437,9.14952601113576,0.04219943289532544,-0.037477996161110465,-0.0796774290564359,92858.7011925052,173662.86499314927,80804.16380064406,-0.1341750811191021,1.1889473497648917,1.3231224308839937,0.1718380899307258,0.07643272424259154,-0.09540536568813426,4.20207280818673e-08,2.5582911428670397e-08,0.3084137093817523,0.04268922955358149,0.013737233952762367,0.028834750444907135,False,True,3.0
CLONE_0005,2.5237011256343957,0.22206879763578904,2.271506574859272,2.9430522676037936,12387328.120658306,1106135.159448672,9918055.278317727,13210242.541667508,95.44836294949648,1.818320875926128,93.2087807349929,98.06040139932615,2.9094058284004776,0.2677385291816086,2.4037984843936893,3.2793936604860283,-0.05681044194765483,216098.95815791763,0.6123525705252059,0.0011727656779615683,2.499740815413163,13044920.23085427,96.90542847829188,3.172478724848833,-0.2150790665032512,-0.058699203793213826,0.15637986271003737,395727.362496437,73767.59775266839,-321959.7647437686,0.655904097593024,0.8046305655033497,0.14872646791032562,-0.058323260339153936,-0.089613357878148,-0.03129009753899407,2.0373248379734345e-07,1.9162561143920944e-07,0.08799330288842074,0.08929570192009155,0.01905030971426074,0.09202515732801009,True,False,4.0
CLONE_0006,7.9144389032061335,0.42483978308835263,7.435550239651296,8.606230868631066,6328951.290152364,1205693.1816597406,4459133.218557843,8209148.742124072,91.89426198476184,1.1810878731135612,90.05084164781415,93.30637694647353,5.127534092879225,0.2869822503216188,4.619148871366677,5.5772991326107215,-0.16989507513967525,374096.493802907,-0.09525759609871448,0.02037653182637683,7.435550239651296,7303649.8041616045,92.78484441128279,4.913729674699512,-0.18690526104450988,-0.10303271969436528,0.0838725413501446,672415.6272888924,431178.07270577387,-241237.55458311853,-0.03607298576907971,1.0340620222416728,1.0701350080107526,-0.041762345989213044,-0.03789967749899817,0.0038626684902148753,1.2505134800959416e-06,1.0180595235295282e-06,0.053679077977665766,0.19050441793346687,0.012852683590805264,0.05596886243315117,True,False,2.0
CLONE_0007,0.943605075760702,0.10032870437875568,0.8573696832054095,1.1785803643616448,14716486.242000438,594242.6879077962,14103365.279161423,15946338.832810624,95.68231808161184,1.5199440915802331,93.96326871147251,97.7011043898796,4.96447744430155,0.28416936068565984,4.554627742782869,5.357545995153807,0.0004370805128433549,-30061.763783628332,0.15726025600610483,-0.0001258658288099569,0.8951091977613462,14469765.509349752,94.59655061692847,4.656315674767774,0.08158525835731607,-0.016746749157051637,-0.09833200751436771,26933.71909652909,-410516.2430680919,-437449.962164621,1.2906259617791882,-0.07708061827237886,-1.367706580051567,-0.11483786555161113,-0.10215395203067124,0.012683913520939893,6.411891128384162e-08,6.186065677311525e-08,0.10632488829243447,0.04037938663726972,0.015885318437497697,0.057240538166731254,True,False,5.0
CLONE_0008,1.1658543300708015,0.1480276858078394,0.8733791596693183,1.360991034604319,14498920.512241276,795886.0264494264,13168273.872406889,15376653.598521518,96.06896559172021,1.4041228744773964,94.3185515428068,98.09128469269395,9.210002049671793,0.2676669822343849,8.745213289721658,9.548746078020335,-0.03562708923664862,46903.80628163066,0.20070682155023914,-0.04247772212091533,1.1028683505657446,15376653.598521518,95.58990698332238,8.745213289721658,-0.02229582253138396,-0.011086891808227427,0.011208930723156534,-16594.276231441945,107814.93782173892,124409.21405318085,0.9548053115303985,0.20535511370549966,-0.7494501978248989,-0.11434765121261187,-0.16170656664425095,-0.04735891543163909,8.040973319954983e-08,7.172356088400057e-08,0.12696928069210883,0.054892778105616116,0.014615780088963465,0.029062640894293917,True,False,4.0
CLONE_0009,2.2933905986471492,0.17511674426070797,2.020903857284445,2.479170839862786,12502195.45960108,740970.7167458901,11344614.715578398,13441870.436999656,96.46725492312225,1.3058265895062162,94.39538903923578,97.86144782549509,10.00213330483841,0.4062870186275202,9.203048438349102,10.543335969712922,-0.03888956441491081,43003.935603256876,0.12125538541817947,0.056322170193757695,2.0811024307156685,12980961.619140504,96.70633089907156,10.175784554121094,0.021455490564003546,-0.11879626621995952,-0.14025175678396307,220792.51747270272,-178243.30618611435,-399035.8236588171,0.041863988409266036,0.23516892440617426,0.19330493599690823,-0.24141996686048034,0.010290048248810177,0.25171001510929053,1.834390292535329e-07,1.6031958893146025e-07,0.07635713876548139,0.059267247831808645,0.013536475050869162,0.040620036366678276,True,False,6.0
CLONE_0010,1.3912286813235402,0.13227760769109,1.1960352630775897,1.5595482178009774,14146687.016814232,933002.7812074528,13248433.179596093,15987514.056715412,96.57420782920693,0.9988291482509642,95.37502267702742,98.01677229954028,5.6751674951070665,0.19846037053898594,5.4236307536173465,5.9821300322481665,-0.009183437656162013,-15274.063839641927,-0.03982736961089607,-0.0066771674084188885,1.1960352630775897,14403381.286793938,97.80708118756478,5.575970929681337,-0.06746819836524798,-0.029447390763238095,0.03802080760200988,915868.5590245167,215325.733894183,-700542.8251303337,0.2126378216281879,0.3933989929655157,0.18076117133732783,0.11104898700576059,-0.1129586942929408,-0.22400768129870138,9.834307351749401e-08,8.303850597735694e-08,0.09507970139759374,0.06595203386478543,0.010342607728215254,0.03496995827438074,True,False,4.0
