clone_id,titer_mean,titer_std,titer_min,titer_max,vcd_mean,vcd_std,vcd_min,vcd_max,viability_mean,viability_std,viability_min,viability_max,aggregation_mean,aggregation_std,aggregation_min,aggregation_max,titer_slope,vcd_slope,viability_slope,aggregation_slope,productivity_drop_pct
CLONE_0001,2.8896828385685933,0.0899027266565577,2.7900208214881204,3.0329856150514565,10415186.75299931,1111260.0178042736,9043899.29232255,11816731.190977443,94.47363366851262,1.440464990393877,93.35755043632004,96.98057003134689,8.221050980215558,0.1805304677452081,8.058368318758625,8.463373117666686,-0.015580712391034573,573349.8257438884,-0.19953669805216684,-0.009190153718377446,0.31631422665629855
CLONE_0002,0.8771394299331264,0.12999579881903603,0.7226118951242408,1.0771693594046094,13301587.870564776,1108756.9181002292,11432474.711709877,14343103.017045949,95.92399637476163,1.1180124153943767,94.73783468577757,97.21148642554334,7.3877753180867725,0.38244103800991686,6.937950992537176,7.984500577541586,-0.04801970361467539,312021.24192841334,0.5928089506627338,0.02628680451618624,0.13013898850430428
CLONE_0003,4.2555533269968295,0.14493024027076512,4.039222534648834,4.379777928940008,7941597.133320443,708776.0874763946,7045902.67096049,8916481.024303308,92.98931959666591,2.199670986667796,90.62521060289401,96.61990778422216,2.2144896940844463,0.09907676184441497,2.0543400340542033,2.2950195078612645,-0.02238764153489048,84860.41034203215,0.5980214034056358,-0.03491579419763446,0.25077349296204665
CLONE_0004,0.6019190073299213,0.14338059834551747,0.4702528502895014,0.7622372024603267,14086457.445759892,392136.6728633678,13531715.448509417,14620889.254717898,96.05296576990166,0.8482708847584167,95.01463522558139,96.98937347120712,3.675444315743752,0.3749035078476783,3.376206885565179,4.290907435273058,-0.04007053631386878,234162.95654451853,-0.1678058891859511,0.19718224891084263,0.5182489884618084
CLONE_0005,2.441076298673956,0.22347726365700715,2.2201444694622565,2.802331022587235,9891680.792913694,877544.7150823653,8810959.19667123,10991707.262205858,94.19129807535033,2.33403324616903,91.0086480928491,97.06023089926937,3.544650629766924,0.26090716454995255,3.4044818115149016,4.0102450555671485,-0.05618373541397555,299237.39828807337,0.6416997446374816,0.11447670908700441,0.24520436021551212
CLONE_0006,7.492510401749422,0.18754084005264318,7.163695800541017,7.616719910496743,3504611.5172611624,1185540.134695489,2286735.138732978,5412712.913707165,88.77638186122444,2.5836084728629727,85.6481409611301,92.6163473249164,4.743926696313158,0.26462172179388116,4.432133465161848,5.009369869925093,-0.09751764639795689,415733.06246918783,0.7261013257586437,0.13438215910818313,0.11370821751167472
CLONE_0007,0.8158006698922167,0.11197859508016429,0.6936068173976301,0.9719692867623085,14096509.704183739,960648.4565344261,12782159.91487713,15353720.17297116,95.96193727044174,0.9993995924708965,94.3260329063686,96.98296741200619,3.4859282505875426,0.28650352712590615,3.063190997546286,3.801217779855967,0.00011419985492658434,499778.9666369078,0.2899355771161325,-0.02365258220906012,0.21914194490521297
CLONE_0008,1.0745529597386727,0.11482192006968885,0.9619617774468856,1.2095910740269142,13753180.952314224,1021306.9166998205,12303552.925470782,14955808.40717196,95.79700452558825,1.8795097829922318,93.71475659864426,98.10057198601008,8.675857639547406,0.20693253723525393,8.384361141931596,8.949688755037176,-0.011741921060170591,270565.6640238049,0.46125018470866996,0.008904630785377331,-0.011443851170195772
CLONE_0009,1.6300069489482456,0.153212844835073,1.4255794832471476,1.8319503463540727,12195212.808179814,688259.0939533957,11144405.977029568,13009596.259000368,93.77711537958047,0.6566712223269825,92.78494583749425,94.46806727782398,1.7305477280243315,0.10878093115696386,1.5689339649491294,1.8547078018142162,-0.09614891559801939,319314.59491523233,-0.32290853619152776,-0.029716101656303676,0.39307650821556195
CLONE_0010,1.287249600921872,0.13592067798412558,1.0598402960274784,1.4195105704529773,13557304.60410567,1129114.6433178543,11972946.035162147,14743694.515778504,95.05038021827524,0.9018826833605375,93.94388465087385,96.06367634585723,1.2146765290706147,0.30841257342951783,0.7920984852719021,1.631662871817147,0.0050516764805554355,179292.67770676754,-0.04227269742478735,-0.17025430412023,0.26854883271201435
CLONE_0011,0.48218853399160466,0.1696146823356073,0.2838169736695374,0.7209811812297805,14657060.7094012,456483.99923357187,13955803.324585862,15206859.149788864,95.23659906978095,0.9762389660431322,93.69201455750981,95.95411769458497,5.305227350408998,0.10018141329957567,5.160200083367174,5.438593836275059,-0.04199360038894455,98852.71738207027,-0.12415546659279685,-0.02528884612389795,0.5627868779114433
CLONE_0012,1.5747442770120963,0.13463084264560846,1.4239373468102583,1.773118337839883,12602978.65405558,764171.3278305344,11769918.652985368,13642099.481538054,95.36014398115235,1.0820467376028893,94.3714787535747,96.89108126560552,4.93926766456379,0.2219222571620734,4.664365547932154,5.208330787230893,0.012162933519331976,173741.75906161402,-0.20455054406602627,-0.12876176933581884,0.16969275950393786
CLONE_0013,0.6591800574130688,0.18831412315346693,0.3368787186880221,0.7974132342786782,14561504.141198138,542603.4383194661,14104979.029451435,15386819.59217434,96.60295747263434,1.1933929769969778,95.51065814004424,98.47460624617766,9.350568979390152,0.24979718178774518,9.02192598789878,9.719324807483403,-0.10145484231786231,289191.73516131606,0.13078449321211963,0.07683287251545047,0.18909373297972812
CLONE_0014,2.240026225930455,0.16331760476884197,2.0583546162898356,2.4205832843405792,11150835.915550228,1046862.6282898382,10281837.738176117,12340370.056233104,93.93494394331546,2.80366150506858,89.71591003367719,97.01521332574796,3.425637927278749,0.3216001295106032,3.0697244008003595,3.7700245586676258,-0.040984191150698006,-137006.7559468492,0.9196883810391838,-0.10014443355033369,0.19461436268234486
CLONE_0015,0.7761310627194076,0.11639647793948989,0.6474371395005181,0.8823294731083295,14016907.220702281,621460.5590667728,13306230.882507008,14978768.289327662,96.39673619368726,2.293918922845704,93.61748359580949,100.0,2.8718665755601176,0.3713699940750232,2.5149509053706023,3.2899725689594668,-0.01682448520607517,27301.680326304522,1.2367942919057437,-0.213047552651063,-0.06196429492688415
