clone_id,titer_mean,titer_std,titer_min,titer_max,vcd_mean,vcd_std,vcd_min,vcd_max,viability_mean,viability_std,viability_min,viability_max,aggregation_mean,aggregation_std,aggregation_min,aggregation_max,titer_slope,vcd_slope,viability_slope,aggregation_slope,titer_p10,vcd_p10,viability_p10,aggregation_p10,titer_slope_3_6,titer_slope_7_10,titer_curvature,vcd_slope_3_6,vcd_slope_7_10,vcd_curvature,viability_slope_3_6,viability_slope_7_10,viability_curvature,aggregation_slope_3_6,aggregation_slope_7_10,aggregation_curvature,qP_mean,qP_p10,titer_cv,vcd_cv,viability_cv,aggregation_cv
CLONE_0001,2.665435656416119,0.1454124026891904,2.464813517460482,2.8523675562017856,10632896.055533608,1025472.4228761166,9197038.291846298,12361789.360404551,93.63707707146122,0.8211349689171307,92.55401942045762,95.05557933527318,3.8762909836177872,0.27605500776991826,3.5788524140989786,4.279090309535627,-0.024274373720529704,113872.40106197073,0.08094760039326936,0.09910449018836753,2.4748278182415917,12361789.360404551,93.50491882396491,4.271647370059679,0.04067775079055049,-0.007498110387935264,-0.048175861178485754,-187022.39222031482,389773.397588269,576795.7898085839,-0.27343936725845885,0.30295106967411695,0.5763904369325759,0.114054361090007,0.20178107415773663,0.08772671306772964,2.506782387879136e-07,,0.05455483507343546,0.09644337888005935,0.008769335765165906,0.07121627578150923
CLONE_0002,0.8346905652811044,0.19115077505064898,0.5165126133978801,1.1712730241883806,15128100.22819252,597750.5544894784,14076258.37234826,16051268.978929564,96.28345703593405,1.2925238845413511,94.68376275010094,97.97384556555534,3.3261625756585995,0.40435516286868806,2.5844863587418305,3.921442561381733,0.0027179979023606686,-94369.7377356546,0.3833588978720941,0.012096229287838106,0.7500427960758654,14806757.05627052,96.29555619378984,3.358112867959036,0.011971409724004444,0.1094120033074587,0.09744059358345426,-288401.3126807415,-230868.50190968104,57532.81077106044,0.2027657661054039,-0.4457906070702021,-0.648556373175606,-0.2599695601480359,-0.21439006289459406,0.04557949725344185,5.517484368100539e-08,,0.22900794949954406,0.03951259877135918,0.01342415326908695,0.12156806937407601
CLONE_0003,3.9904838319778815,0.17585665376082335,3.7224905713661407,4.270057324898496,8411914.15445556,1150418.7263912305,6047145.815623801,9506059.187487183,93.27845922375981,1.540622300460263,91.32768723999986,95.84845953526393,5.908575888627852,0.33387272145283076,5.353566811387885,6.400830241639413,-0.04401601894149193,296423.4612371572,0.31518204267741334,-0.014776047592027906,4.035050010795939,9380447.28912014,92.6041125527998,5.353566811387885,-0.07937765633156041,0.07876411439258864,0.15814177072414903,1015720.755622168,607611.053175532,-408109.7024466359,0.8268301060907117,0.024122684206689074,-0.8027074218840227,0.11459047630074878,-0.18173489277192437,-0.29632536907267315,4.743847546119133e-07,,0.044069005444282446,0.13676063560181306,0.016516378092696033,0.05650646241828325
CLONE_0004,0.5408211974164657,0.15433629105794905,0.3338726828256845,0.7498276408461942,15112979.633921908,605067.5143144535,14481556.043676928,16263416.11823142,96.18787662968259,2.045114261466814,93.81155083537689,100.0,7.056522861890865,0.2573201177549151,6.697547492806423,7.367922761246942,-0.02672799342005333,6003.808773356649,0.10826384223908417,-0.0742805100320993,0.3338726828256845,14728596.127285901,96.07215318751904,6.771916646011905,0.0700290204141695,-0.1073798634249332,-0.1774088838391027,404815.40497092565,-337551.5009966449,-742366.9059675706,0.01564987820624578,1.2339196074102157,1.21826972920397,-0.02400957983007576,-0.1976276594111348,-0.17361807958105904,3.578521314238808e-08,,0.285373967421855,0.040036281988784415,0.021261663455979136,0.03646556848956315
CLONE_0005,2.162810103320239,0.1247234701120169,1.9286863541723025,2.3552514067182257,11810710.676493946,732115.721614758,10921307.087467035,13285165.308406247,95.67048163040045,1.4190307249322287,93.25324534484902,97.03103770031412,0.7902453978152946,0.3212972664957428,0.26417351105933473,1.187373552256555,-0.011962632830763462,-16714.746022809864,0.2954800601752109,-0.03582039700852913,2.074356138700398,10921307.087467035,97.0262318380109,0.6320862519025015,0.03791673489077547,0.04275699680106645,0.00484026191029098,-134575.73928759742,-274279.4013634365,-139703.66207583906,0.2946587070663451,0.3793843025315465,0.08472559546520136,0.03928288201465079,0.05053290446292143,0.011250022448270634,1.8312277411254619e-07,,0.05766732357264296,0.061987440186121734,0.0148324822947947,0.40657910438633277
CLONE_0006,6.957322623853764,0.326540545173032,6.474823547600598,7.428307283837501,5224004.657647471,1444786.719445491,2711504.485074961,7143911.638887706,90.45080457034294,1.2583360293751429,87.78714297159668,91.86330085350808,3.9338138455367475,0.4857520351588288,3.2058412885641947,4.582785072992629,-0.12088983577977407,-5456.163735047693,0.24907448228620457,0.09030991295946435,6.694224565265543,2711504.485074961,90.81073206476584,3.7902281734280776,-0.1323616801039792,-0.019148402486862365,0.11321327761711683,-237711.70049837595,-1044155.5887295055,-806443.8882311296,0.9693003748360305,0.3628060918730136,-0.6064942829630169,-0.09931321497393229,-0.1533591208312661,-0.054045905857333806,1.3317987022980292e-06,,0.046934799890769124,0.2765668896045974,0.013911827930536894,0.12348119512225403
CLONE_0007,0.6590753917321799,0.14620303882284258,0.4466933634970601,0.9275453837349437,14562770.311590195,845913.3641487283,13638377.524023805,16119738.513775934,95.51958502445358,1.2974363545859893,93.94173605509827,97.54428125838669,3.118405835330444,0.2745694121850253,2.718709997304181,3.3863762359887297,-0.002525722170704432,84741.83742762543,0.0846109762714471,-0.0008370230368160762,0.7253699235066841,14296504.627537848,95.44068994279453,3.274218173135669,0.06639468310560254,0.07584082246144308,0.009446139355840544,373672.3495251718,-452115.7986452336,-825788.1481704054,-0.6122874171332564,0.16611525532678825,0.7784026724600447,-0.218647032462585,-0.06303343329261404,0.15561359916997095,4.5257555920361934e-08,,0.2218305226307444,0.05808739312982805,0.01358293541832552,0.08804800484471975
CLONE_0008,1.0534598279044842,0.1105642243033284,0.9191726305907374,1.209670033974732,14241826.369341435,834460.3571966366,12931784.028389258,15246254.434212942,96.5922382568724,2.1947769001170827,94.0111502654012,99.42997233708851,7.660826242634993,0.2636351575478736,7.439573195950274,8.266624407798671,-0.014000729108663165,-93229.79746286666,0.4882474957601629,0.054257221009489674,0.9290887190685212,13197649.508420566,98.28042356923316,8.266624407798671,0.078188628118959,-0.022888901359058383,-0.10107752947801739,107406.91479293496,-244467.0459823602,-351873.96077529516,1.5233519842314922,0.9510423145419539,-0.5723096696895383,-0.020564461884189776,0.27756621510096513,0.2981306769851549,7.396943345498726e-08,2.0019980490596228e-07,0.10495343179654656,0.0585922293641348,0.022722083468629067,0.03441341040294644
CLONE_0009,1.6567103308423792,0.1623790261380075,1.409001493740607,1.9434474242277169,12333382.227950692,803004.0764736112,10986949.500395333,13394068.006320557,95.73098759173988,1.1363005249503761,94.43196632169452,97.79143359982925,8.669638419294895,0.2942406496487083,8.318836707104012,9.05200168199051,0.00015917562682313423,36120.09906074449,0.31305221911012354,0.03162638085615126,1.6995785518624982,13088036.327747198,97.79143359982925,8.557875240854896,0.03433113796067599,0.06957753037592473,0.035246392415248746,32092.662678970974,-243973.23708040378,-276065.89975937473,0.2558724842543968,0.20873487004847166,-0.04713761420592513,-0.06635991517639965,0.0457959082713591,0.11215582344775875,1.3432733213180055e-07,,0.09801292538414397,0.06510818051627333,0.011869725295057457,0.033939206617881044
CLONE_0010,1.0502271810868806,0.19937296612910627,0.7711731510802494,1.3504784866032329,14136821.350820828,1010961.2537104945,12677530.572016738,15448162.9494671,94.77123668544665,0.9913223190849151,93.43862514903209,96.51127109785568,4.867645608508415,0.3111357021219306,4.427324555632692,5.307274550154695,-0.04987001451821232,234688.0210165926,0.013398155502590442,-0.08376367112518737,0.7711731510802494,15006401.469273748,94.9715850933601,4.492386433209394,-0.008991108002993353,-0.0573597463324599,-0.04836863832946655,398858.3742024574,-99468.50144848197,-498326.87565093936,0.5086237209326915,0.2064643514932876,-0.3021593694394039,0.056434257805386696,0.008037608724923163,-0.04839664908046353,7.429019261291726e-08,,0.18983794128517711,0.07151262851969158,0.010460160210473282,0.0639191360838104
