clone_id,process_condition,baseline_score,optimized_score,score_gain,baseline_rank,interaction_gain,interaction_risk,pred_late_qp,optimized_late_qp,pred_late_agg,optimized_late_agg,pred_qp_drop,optimized_qp_drop,pred_stable_prob,pred_rescue_score,pred_rescue_label,perfusion_rescue_potential,temperature_shift_responsiveness,feed_responsiveness,stress_adaptation_capacity,secretion_burden_index,process_risk_sensitivity,is_aggressive,is_super,rescued
CLONE_1502,perfusion_rescue,-0.6781785496452281,0.06305130538835811,0.7412298550335862,730.0,0.24919146163550576,0.21251984238179503,2.7111767231415486e-08,3.386778813533352e-08,9.583126621241991,8.638150432100145,0.3813733635193206,0.3183749509098642,0.3709399534878644,0.5988218948822377,1,0.4500917506021781,0.2871025536427786,0.4537870021401783,0.643065190779837,0.0099553939291351,0.2656498029772438,0,0,False
CLONE_1502,hypothermic_shift,-0.6781785496452281,-0.09893390872072934,0.5792446409244987,730.0,0.13843970090861432,0.2178328384413399,2.7111767231415486e-08,3.086511217803661e-08,9.583126621241991,8.344526027371598,0.3813733635193206,0.3487999905946278,0.3709399534878644,0.5988218948822377,1,0.4500917506021781,0.2871025536427786,0.4537870021401783,0.643065190779837,0.0099553939291351,0.2656498029772438,0,0,False
CLONE_1502,high_feed_balanced,-0.6781785496452281,-0.8179902008861599,-0.13981165124093187,730.0,0.3045673419989515,0.2523673128283816,2.7111767231415486e-08,3.536912611398197e-08,9.583126621241991,10.18596739663605,0.3813733635193206,0.38156274854559113,0.3709399534878644,0.5988218948822377,1,0.4500917506021781,0.2871025536427786,0.4537870021401783,0.643065190779837,0.0099553939291351,0.2656498029772438,0,0,False
CLONE_1502,stress_minimized,-0.6781785496452281,0.43722446283988103,1.115403012485109,730.0,0.06921985045430716,0.18595486208407064,2.7111767231415486e-08,2.898843970472605e-08,9.583126621241991,7.806272455742876,0.3813733635193206,0.2962497524860463,0.3709399534878644,0.5988218948822377,1,0.4500917506021781,0.2871025536427786,0.4537870021401783,0.643065190779837,0.0099553939291351,0.2656498029772438,0,0,False
CLONE_1502,adaptive_perfusion,-0.6781785496452281,-0.428211913146605,0.24996663649862305,730.0,0.3460992522715358,0.2258023325306572,2.7111767231415486e-08,3.649512959796831e-08,9.583126621241991,9.054089420278778,0.3813733635193206,0.36943755012177315,0.3709399534878644,0.5988218948822377,1,0.4500917506021781,0.2871025536427786,0.4537870021401783,0.643065190779837,0.0099553939291351,0.2656498029772438,0,0,False
CLONE_2654,perfusion_rescue,0.3736552232320418,0.9165560759219364,0.5429008526898946,411.0,0.2239743845683654,0.4279685393567303,3.071978743244608e-08,3.7600232916699204e-08,7.31365332720674,6.627215574434817,0.3620874624153734,0.3163249455639118,0.4929689774733669,0.5717153244373251,0,0.4704851101851295,0.2384742880619567,0.3738715579665531,0.5126694755483151,0.2276173126163748,0.5349606741959129,0,0,False
CLONE_2654,hypothermic_shift,0.3736552232320418,0.7494804106759152,0.3758251874438734,411.0,0.12443021364909192,0.4386677528406486,3.071978743244608e-08,3.454225714592004e-08,7.31365332720674,6.340054630615518,0.3620874624153734,0.34718088264262525,0.4929689774733669,0.5717153244373251,0,0.4704851101851295,0.2384742880619567,0.3738715579665531,0.5126694755483151,0.2276173126163748,0.5349606741959129,0,0,False
CLONE_2654,high_feed_balanced,0.3736552232320418,-0.0016623382566433031,-0.3753175614886851,411.0,0.2737464700280022,0.5082126404861173,3.071978743244608e-08,3.912922080208878e-08,7.31365332720674,8.223508495790082,0.3620874624153734,0.38274447365426273,0.4929689774733669,0.5717153244373251,0,0.4704851101851295,0.2384742880619567,0.3738715579665531,0.5126694755483151,0.2276173126163748,0.5349606741959129,0,0,False
CLONE_2654,stress_minimized,0.3736552232320418,1.3153521420578802,0.9416969188258384,411.0,0.06221510682454596,0.374472471937139,3.071978743244608e-08,3.263102228918306e-08,7.31365332720674,5.763020293531307,0.3620874624153734,0.2920452601703445,0.4929689774733669,0.5717153244373251,0,0.4704851101851295,0.2384742880619567,0.3738715579665531,0.5126694755483151,0.2276173126163748,0.5349606741959129,0,0,False
CLONE_2654,adaptive_perfusion,0.3736552232320418,0.4129892270730669,0.03933400384102509,411.0,0.31107553412272976,0.4547165730665259,3.071978743244608e-08,4.027596171613097e-08,7.31365332720674,7.059313214886572,0.3620874624153734,0.3684647882606954,0.4929689774733669,0.5717153244373251,0,0.4704851101851295,0.2384742880619567,0.3738715579665531,0.5126694755483151,0.2276173126163748,0.5349606741959129,0,0,False
