clone_id,process_condition,baseline_score,optimized_score,score_gain,baseline_rank,optimized_rank,rescued,interaction_gain,interaction_risk,pred_late_qp,optimized_late_qp,pred_qp_drop,optimized_qp_drop,pred_late_agg,optimized_late_agg,pred_rescue_score,pred_rescue_label,perfusion_rescue_potential,stress_adaptation_capacity,secretion_burden_index,process_risk_sensitivity,is_aggressive,is_super
CLONE_4067,perfusion_rescue,0.875380917462836,2.5287543262097305,1.6533734087468945,245.0,1.0,True,0.3116524292423274,0.409971445164494,1.5725825085265547e-06,2.0626816674928485e-06,0.591753741292262,0.5445514569054215,7.905017136311523,7.196982870508916,0.486386620198454,0,0.395492266533695,0.5804277313673875,0.680330730831616,0.5124643064556175,0,0
CLONE_1973,stress_minimized,1.0156242754788058,2.1186056775269786,1.1029814020481727,217.0,2.0,True,0.07298011024811515,0.22503645631931601,1.6859908186075058e-07,1.8090346144267916e-07,0.3250476285361645,0.24305054504170975,7.526826472173838,5.796870219757017,0.5525379993165725,0,0.3530577177254343,0.5883185025674544,0.4449361548671613,0.3214806518847372,0,0
CLONE_1074,stress_minimized,1.0168017616255467,2.0818668313703053,1.0650650697447586,216.0,3.0,True,0.08809775760553026,0.2708644511761395,1.613794307091543e-07,1.7559659667828784e-07,0.3152300515208484,0.23689920761493954,8.278448279406952,6.6034856208183195,0.5869468851267324,1,0.3062345645939163,1.0,0.5307788015679328,0.3869492159659136,0,0
CLONE_4616,stress_minimized,1.0358771807811895,2.0651034326215845,1.029226251840395,209.0,4.0,True,0.06524199525007882,0.31214842165496076,2.3293673807412975e-07,2.48133995633131e-07,0.3356499947122853,0.26062186844468216,7.664887969300855,6.039466075286808,0.5927514331722026,1,0.4516602958681949,0.4720989586934238,0.483244024803532,0.445926316649944,0,0
CLONE_1420,stress_minimized,0.8811956486491361,2.0406090611781336,1.1594134125289974,243.0,5.0,True,0.06705343890631257,0.13768150503567494,2.4758061454268324e-08,2.641817461543084e-08,0.3501935113584173,0.2612080317612713,6.519122709176926,4.684340515219736,0.5131435908128776,0,0.2587860126685078,0.8201966953029333,0.1314277751596739,0.1966878643366785,0,0
CLONE_3023,stress_minimized,0.8913180630669089,1.9753822345719017,1.0840641715049928,241.0,6.0,True,0.06022512509376314,0.2263061986075356,7.413557226953327e-08,7.860039638336363e-08,0.3357297502173179,0.2538342461059207,6.354021701952285,4.625589140281328,0.4786421740093271,0,0.3099512098448029,0.5986298103419914,0.3695557211775769,0.3232945694393366,0,0
CLONE_2844,stress_minimized,0.8546359156923873,1.9348828445599446,1.0802469288675574,256.0,7.0,True,0.0711266408147859,0.24815560093082162,1.641599016401297e-07,1.7583604400027781e-07,0.3322893821778757,0.2521418302523414,7.895961787560191,6.193748508677177,0.5992611551701307,1,0.2259022960628934,0.8794568248307374,0.4615255774124349,0.3545080013297452,0,1
CLONE_4614,stress_minimized,1.0568765547928929,1.888348020990924,0.8314714661980311,204.0,8.0,True,0.0663104983683576,0.5170018605053318,1.6981792017096356e-07,1.810786310893781e-07,0.3320626827374909,0.27342283157791747,6.9686123787452,5.589014611351598,0.5244647713725149,0,0.459853051300685,0.5073390337243444,0.5178757189889349,0.7385740864361884,0,0
CLONE_1742,stress_minimized,1.014599458919343,1.8807771114032956,0.8661776524839526,218.0,9.0,True,0.0660081021137446,0.49193816854831107,2.482354142473695e-07,2.6462096281925756e-07,0.3390020105555062,0.2783570640393711,7.173989147596776,5.764314949854749,0.5660389464519759,0,0.3763333166762915,0.5573607700167155,0.640979415139015,0.702768812211873,0,0
CLONE_4193,stress_minimized,0.9873499334666247,1.8793024089828183,0.8919524755161936,226.0,10.0,True,0.06301457457120771,0.44366573484694916,1.2876164206725478e-07,1.3687550216321296e-07,0.3360363234454039,0.2715295822331598,6.805205797832704,5.337604679649043,0.5173872649201525,0,0.1630288146324309,0.5185755160094627,0.433630973654145,0.6338081926384989,0,0
CLONE_4982,stress_minimized,0.8713308944885058,1.877191677769291,1.0058607832807853,247.0,11.0,True,0.08891888926067724,0.3378313312029662,1.724527108158338e-07,1.8778701431157052e-07,0.3520902517280584,0.2791167582242957,7.066766921862823,5.472164519306382,0.5723131045276281,0,0.4524409421266123,0.6195631971819475,0.6806502257547363,0.4826161874328089,0,0
CLONE_2895,stress_minimized,0.7408733819376973,1.8640801532559552,1.1232067713182579,281.0,12.0,True,0.06232752837740494,0.1826611303970319,6.389912557840981e-08,6.788180014118951e-08,0.3538537192600655,0.26846660969182806,6.388311105412745,4.607504461889183,0.5091368505020868,0,0.4185970155216976,0.5228300634869215,0.3541260480829757,0.2609444719957599,0,0
CLONE_2595,stress_minimized,0.8610588607252383,1.8604346501072255,0.9993757893819872,252.0,13.0,True,0.06608277336251778,0.3306430605918903,1.4439999616674697e-07,1.5394234838698255e-07,0.3475762407722846,0.2740276856196358,6.33644432606402,4.733215998774289,0.5127287956044873,0,0.4456693160771181,0.5429544727834614,0.322964178371947,0.4723472294169862,0,0
CLONE_3003,stress_minimized,0.8577485638018059,1.8534152890751145,0.9956667252733087,255.0,14.0,True,0.0727777787295387,0.3417353321181809,1.7066899310026478e-07,1.8308990331610902e-07,0.3625688721050102,0.2899076986744647,6.358081235510585,4.768163634052402,0.505614257839277,0,0.3395404124367102,0.6526090987785642,0.6242859000332205,0.4881933315974013,0,0
CLONE_3275,stress_minimized,0.7976016977721416,1.8254250510506858,1.0278233532785441,265.0,15.0,True,0.07026455962156641,0.36840941839695895,5.335305098594534e-07,5.710187961793977e-07,0.4135783474722517,0.34305110094400837,6.207258226561468,4.649349528637819,0.4741385721706317,0,0.4957900109754251,0.4638720250400219,0.5753157918855878,0.5262991691385128,0,0
CLONE_0070,stress_minimized,0.8712120423503815,1.8224447026013315,0.95123266025095,248.0,16.0,True,0.06369595597278521,0.3633476682050251,2.5014841312811354e-08,2.6608185543738393e-08,0.334652644063467,0.263720457519869,6.431378374175624,4.8673955760216545,0.4741477118810512,0,0.3040917390791419,0.6618918382628465,0.0213918777592959,0.5190680974357502,0,0
CLONE_4940,stress_minimized,0.7874657083018756,1.7802490832401563,0.9927833749382807,268.0,17.0,True,0.08697693489530095,0.3256621731159703,5.29087945536132e-08,5.751063933289166e-08,0.3346267515540407,0.2606797254033183,6.597572449856,4.988367057595164,0.4930499677085388,0,0.5822208714182253,0.8784589477741549,0.3552937057499695,0.4652316758799576,0,0
CLONE_3867,stress_minimized,0.7729629571570925,1.7495151693786253,0.9765522122215328,273.0,18.0,True,0.08113425245170558,0.37577836637668693,2.198853564285173e-07,2.377255904474219e-07,0.3177118127442607,0.24777408205439563,9.35063978981359,7.801573829465614,0.5723930354918119,0,0.4873292484095401,0.7552661557913141,0.6183907620472462,0.5368262376809814,0,0
CLONE_3393,stress_minimized,0.7406427141507818,1.72274455834647,0.9821018441956882,282.0,19.0,True,0.07213792467893863,0.43758302745355987,6.301820576336885e-07,6.756420834412861e-07,0.3762285394329404,0.31123518162922514,8.988780755090463,7.513880388034735,0.6808227492730792,1,0.3970584707489332,0.6837488958595984,0.5166907938990177,0.6251186106479427,0,0
CLONE_3527,stress_minimized,0.7078940511242843,1.712625932946486,1.0047318818222015,291.0,20.0,True,0.09005413742454255,0.34003802076078066,1.7471966931984502e-07,1.9045389843154496e-07,0.3375823171323432,0.26478535879320564,8.556851263463722,6.964896888376659,0.6575534363044637,1,0.3140216288705868,0.8304729105279085,0.7302591157020798,0.4857686010868295,0,0
CLONE_4645,stress_minimized,0.6578551590309663,1.7077818579619524,1.0499266989309861,306.0,21.0,True,0.07691493572460886,0.26020711248719,4.147349414168133e-08,4.466342527786369e-08,0.3507855720536342,0.2716021410526094,7.215144308377033,5.52739284336166,0.566449094822202,0,0.3886481560554781,0.7204742829896091,0.250034488925314,0.3717244464102714,0,0
CLONE_1437,stress_minimized,0.6495586042957335,1.7032446747742784,1.053686070478545,308.0,22.0,True,0.09635217258640974,0.32722379707723087,3.335818461267034e-07,3.6572318173639675e-07,0.3612118103911422,0.2873897141573206,8.198667452332948,6.591336008825626,0.6705190883690656,1,0.6515574088259074,0.5725716794917757,0.7470906600945095,0.467462567253187,0,0
