clone_id,process_condition,baseline_quality_score,process_quality_score,quality_score_gain,glycan_maturity,process_glycan_maturity,galactosylation_level,process_galactosylation_level,sialylation_capacity,process_sialylation_capacity,mannose_retention_risk,process_mannose_retention_risk,aggregation_propensity,process_aggregation_propensity,product_quality_consistency,process_quality_consistency,quality_response,stress_penalty,pred_late_qp,pred_qp_drop,pred_late_agg,pred_rescue_score,pred_rescue_label,is_aggressive,is_super,quality_pass,quality_risk_flag,production_score,combined_quality_utility,combined_quality_utility_guarded
CLONE_1502,baseline,0.9269553181740434,0.9269553181740434,0.0,0.9607785774942948,0.9607785774942948,0.6720092012288843,0.6720092012288843,0.7778119059142365,0.7778119059142365,0.1978786753774372,0.1978786753774372,0.1377120151006046,0.1377120151006046,1.0,1.0,0.7127002566055298,0.0,2.7111767231415486e-08,0.3813733635193206,9.583126621241991,0.5988218948822377,1,0,0,True,PASS,-0.7839907752535307,-0.09961233788250096,-0.09961233788250096
CLONE_1502,rich_media,0.9269553181740434,0.881628828258251,-0.04532648991579247,0.9607785774942948,0.9681121431403168,0.6720092012288843,0.7008804877527826,0.7778119059142365,0.7730184689942032,0.1978786753774372,0.22788480481358775,0.1377120151006046,0.19197214966886575,1.0,0.9719112453318627,0.7127002566055298,0.09586873840066608,2.7111767231415486e-08,0.3813733635193206,9.583126621241991,0.5988218948822377,1,0,0,True,PASS,-0.7839907752535307,-0.11774293384881795,-0.11774293384881795
CLONE_1502,balanced_feed,0.9269553181740434,1.092352951173266,0.1653976329992225,0.9607785774942948,1.0,0.6720092012288843,0.7122526213811193,0.7778119059142365,0.7960159124318154,0.1978786753774372,0.162456355063278,0.1377120151006046,0.10228969478644537,1.0,1.0,0.7127002566055298,0.01597812306677768,2.7111767231415486e-08,0.3813733635193206,9.583126621241991,0.5988218948822377,1,0,0,True,PASS,-0.7839907752535307,-0.033453284682811946,-0.033453284682811946
CLONE_1502,nutrient_limited,0.9269553181740434,1.038955950803239,0.11200063262919568,0.9607785774942948,0.9850325826264055,0.6720092012288843,0.6638326922139031,0.7778119059142365,0.7683104495787777,0.1978786753774372,0.149370665113216,0.1377120151006046,0.0770770022703281,1.0,1.0,0.7127002566055298,-0.03195624613355536,2.7111767231415486e-08,0.3813733635193206,9.583126621241991,0.5988218948822377,1,0,0,True,PASS,-0.7839907752535307,-0.05481208483082267,-0.05481208483082267
CLONE_1502,mild_temp_shift,0.9269553181740434,1.1159081606115098,0.18895284243746635,0.9607785774942948,1.0,0.6720092012288843,0.696538728273828,0.7778119059142365,0.7968148185851542,0.1978786753774372,0.149370665113216,0.1377120151006046,0.06494999970427281,1.0,1.0,0.7127002566055298,-0.04793436920033304,2.7111767231415486e-08,0.3813733635193206,9.583126621241991,0.5988218948822377,1,0,0,True,PASS,-0.7839907752535307,-0.024031200907514427,-0.024031200907514427
CLONE_1502,perfusion_like,0.9269553181740434,1.1067366835919077,0.17978136541786427,0.9607785774942948,1.0,0.6720092012288843,0.6883622192588468,0.7778119059142365,0.7873133622496954,0.1978786753774372,0.1372436625471607,0.1377120151006046,0.0770770022703281,1.0,1.0,0.7127002566055298,-0.03834749536026644,2.7111767231415486e-08,0.3813733635193206,9.583126621241991,0.5988218948822377,1,0,0,True,PASS,-0.7839907752535307,-0.02769979171535525,-0.02769979171535525
CLONE_1502,stress_minimized,0.9269553181740434,1.128323881351315,0.2013685631772716,0.9607785774942948,1.0,0.6720092012288843,0.6883622192588468,0.7778119059142365,0.7968148185851542,0.1978786753774372,0.1372436625471607,0.1377120151006046,0.0528229971382175,1.0,1.0,0.7127002566055298,-0.06391249226711072,2.7111767231415486e-08,0.3813733635193206,9.583126621241991,0.5988218948822377,1,0,0,True,PASS,-0.7839907752535307,-0.019064912611592322,-0.019064912611592322
CLONE_1502,adaptive_perfusion,0.9269553181740434,1.0943209628521022,0.1673656446780588,0.9607785774942948,1.0,0.6720092012288843,0.696538728273828,0.7778119059142365,0.7873133622496954,0.1978786753774372,0.149370665113216,0.1377120151006046,0.08920400483638341,1.0,1.0,0.7127002566055298,-0.03195624613355536,2.7111767231415486e-08,0.3813733635193206,9.583126621241991,0.5988218948822377,1,0,0,True,PASS,-0.7839907752535307,-0.032666080011277465,-0.032666080011277465
CLONE_2587,baseline,-0.25487014843161165,-0.25487014843161165,0.0,0.5593518692175666,0.5593518692175666,0.46107767407658,0.46107767407658,0.6605964281396585,0.6605964281396585,0.2944549794771866,0.2944549794771866,0.2203073768064422,0.2203073768064422,0.6195375143287459,0.6195375143287459,0.6683000800914556,0.0,6.445183888507438e-08,0.4894930185783925,3.1273997596242187,0.2648691918959072,0,0,0,True,PASS,0.15915452213777082,-0.006455346089982189,-0.006455346089982189
CLONE_2587,rich_media,-0.25487014843161165,-0.3065634217116159,-0.051693273280004226,0.5593518692175666,0.5636870754167085,0.46107767407658,0.4926660513455604,0.6605964281396585,0.6532486335378858,0.2944549794771866,0.32663833460114294,0.2203073768064422,0.27585673353222767,0.6195375143287459,0.5902932770454986,0.6683000800914556,0.14695589203545437,6.445183888507438e-08,0.4894930185783925,3.1273997596242187,0.2648691918959072,0,0,0,True,PASS,0.15915452213777082,-0.02713265540198387,-0.02713265540198387
CLONE_2587,balanced_feed,-0.25487014843161165,-0.05431423496831174,0.20055591346329993,0.5593518692175666,0.604859239987596,0.46107767407658,0.5069312343176753,0.6605964281396585,0.6796439707284454,0.2944549794771866,0.26087553599479746,0.2203073768064422,0.18672793332405307,0.6195375143287459,0.6652898115855012,0.6683000800914556,0.02449264867257573,6.445183888507438e-08,0.4894930185783925,3.1273997596242187,0.2648691918959072,0,0,0,True,PASS,0.15915452213777082,0.07376701929533779,0.07376701929533779
