clone_id,process_condition,baseline_quality_score,process_quality_score,quality_score_gain,glycan_maturity,process_glycan_maturity,galactosylation_level,process_galactosylation_level,sialylation_capacity,process_sialylation_capacity,mannose_retention_risk,process_mannose_retention_risk,aggregation_propensity,process_aggregation_propensity,product_quality_consistency,process_quality_consistency,quality_response,stress_penalty,pred_late_qp,pred_qp_drop,pred_late_agg,pred_rescue_score,pred_rescue_label,is_aggressive,is_super,quality_pass,quality_risk_flag,production_score,combined_quality_utility,combined_quality_utility_guarded,combined_rank
CLONE_4625,stress_minimized,0.2800458252082038,0.4711499681707225,0.1911041429625187,0.9947724715524164,1.0,0.7528433107907112,0.7691997970589457,0.6260503872104789,0.6462543214536809,0.4397761764228873,0.3795424799671535,0.6554959763486699,0.5711688013106426,0.8152641373902999,0.8875445731371804,0.7046739291146753,-0.11051515182840306,5.537450196275659e-06,0.3579097053829755,8.834886556306435,0.9999999999988496,1,0,1,True,PASS,12.06360846405099,7.426625065698883,7.426625065698883,1.0
CLONE_2776,stress_minimized,0.030917675188948224,0.19707163812143402,0.1661539629324858,1.0,1.0,0.3488937363990633,0.36579569886224883,0.8025026088450693,0.8229044653473884,0.4401391336811331,0.3869527728191565,0.3129054330657183,0.23844452785895104,0.4858655624301733,0.5496891954645452,0.5637272172395316,-0.13801282169591186,5.472554992913206e-06,0.6682796091017802,7.177550109020105,0.5830523848656276,0,0,0,True,PASS,9.985020875872987,6.069841180772365,6.069841180772365,2.0
CLONE_4878,stress_minimized,0.18348051329070975,0.3586501816701129,0.17516966837940318,1.0,1.0,0.6000166776156896,0.6181287959939505,0.4365445026236249,0.4570318434238031,0.126983344217133,0.07082895125413453,0.6649896731322107,0.5863735229840128,0.4935669980455026,0.5609522696011008,0.6230878592599693,-0.11160165416202435,4.417262871405833e-06,0.4523477838376789,10.140636893686418,0.7769582994418042,1,0,0,True,PASS,8.46844953142908,5.224529791525493,5.224529791525493,3.0
CLONE_2171,stress_minimized,0.14906434816370426,0.42128319433275674,0.27221884616905245,0.8185686159387826,0.8790174287945998,0.6411085897064043,0.6609830192382784,0.6697481658074598,0.6908158681186962,0.4063198173763614,0.3458710045205443,0.3949043527211638,0.3102760147230198,0.7973210949191968,0.8698596703461773,0.7089762571163425,-0.1298300455420504,5.101682286001464e-06,0.7067828778056771,9.372359850369223,0.6298436855922076,1,0,1,True,PASS,8.280429381781092,5.136770906801758,5.136770906801758,4.0
CLONE_3254,stress_minimized,-0.10786001775377746,0.13940897273063263,0.2472689904844101,0.7732248333623227,0.8351230335186985,0.7145863348120337,0.7340771976001685,0.8822066027630108,0.9016718160647289,0.6761292842910744,0.6142310841346986,0.6777842629683775,0.5911267827494513,0.9833729601749556,1.0,0.7379640031275156,-0.10503867125463566,4.310815040459172e-06,0.3105294161131269,8.07133778567176,0.8152626678021461,1,0,1,False,QUALITY_RISK,9.846559152793073,5.963699080768097,3.963699080768097,5.0
CLONE_3863,stress_minimized,0.1991843977686753,0.4234483158772408,0.2242639181085655,0.700039412870954,0.7491780173414455,0.964242780013294,0.9844548677907407,0.5288226756108182,0.5436164285687722,0.242870032641021,0.19373142817052946,0.5065723087178865,0.4377782624591984,0.533978555212183,0.5929448805767727,0.4827720894098305,-0.14300336633735056,4.193785497886135e-06,0.7315209175949989,8.422007187957906,0.6156231368906577,1,0,0,True,PASS,6.284406667033505,3.9400233265709987,3.9400233265709987,6.0
CLONE_0048,stress_minimized,-0.6599603502998775,-0.41544369588679797,0.24451665441307957,0.5634463085919504,0.6172399441405761,0.9079616150116152,0.927803292230677,0.4501525318215398,0.46902450470240264,0.4664238097217766,0.41263017417315084,0.9372940744513564,0.8619829846832803,0.4441955592418789,0.5087479219002298,0.5758727109725148,-0.1340924559382416,5.334486859915133e-06,0.6188756464091499,11.048644416302894,0.5850094108536216,1,0,1,False,QUALITY_RISK,9.040122189627525,5.257895835421795,3.2578958354217953,7.0
CLONE_1619,stress_minimized,-0.5625086505952872,-0.2814743362965804,0.2810343142987068,0.3754585903267607,0.4379005717504593,0.6131030292874601,0.6324012840899794,0.8242428624143311,0.8481922674909006,0.220503221022752,0.15806123959905338,0.7025383043008792,0.6151195303077011,0.5570686921013515,0.6319990698097898,0.7488396284739722,-0.10040566260442195,2.22626155053234e-06,0.2522908353925946,3.094684403478782,0.294760459703731,0,0,1,False,QUALITY_RISK,6.867758598558398,4.008065424616406,2.0080654246164062,8.0
CLONE_0643,stress_minimized,0.271275992796159,0.5122425386006453,0.2409665458044863,0.8435827674570275,0.8977437525545537,0.7041808717852911,0.7192032419745085,0.9494224337346424,0.9681268543166262,0.4957570860730811,0.44159610097555485,0.4697154185440286,0.39389003940749184,0.8470626698463878,0.9120558519634193,0.5832197019505251,-0.14967936379943436,1.7799739038484538e-06,0.5336334291808685,6.340006173360644,0.4329671893667803,0,0,0,True,PASS,2.869520152044597,1.9266091066670161,1.9266091066670161,9.0
CLONE_3822,stress_minimized,-0.03389634700945157,0.2295755493651372,0.2634718963745888,0.8105665404102514,0.869477689400641,0.5597114461535165,0.5772257170473258,0.4299319457672137,0.4506141017419607,0.2461506709587786,0.18723952196838908,0.5402137460703907,0.4577381374838454,0.737290655867097,0.8079840346555643,0.6782229798077901,-0.11452242879809582,3.169119592561457e-07,0.2425305150518889,3.335837688787441,0.1493946412904045,0,0,0,True,PASS,2.5569816974361768,1.626019238207761,1.626019238207761,10.0
