batch_id,titer,vcd,viability,aggregation
B_P01,0.024835707650561634,-41479.2903513554,0.259075415240277,0.03046059712816051
B_P02,-0.011707668736166799,-70241.08708475417,0.6316851262029566,0.015348694583058176
B_P03,-0.023473719296747606,162768.0130757894,-0.1853670771249849,-0.009314595071405137
B_P04,0.012098113578301706,-573984.0733973393,-0.6899671330052132,-0.011245750584819454
B_P05,-0.05064155601672119,94274.19977858216,-0.36320963020848446,-0.028246074026705835
B_P06,0.07328243844607771,-67732.8901459607,0.027011281875169536,-0.028494963724269136
B_P07,-0.027219136226259134,33276.776912959824,-0.46039743096892116,0.007513960366913439
B_P08,-0.03003193449594025,-87508.12493798304,-0.24068264489175878,0.03704556369017876
B_P09,-0.0006748612368966957,-317313.27868676995,0.32901796484127566,-0.024416872999420445
B_P10,0.010443179750237772,-587901.0371639327,-0.5312744195593723,0.003937224717382471
B_P11,0.03692332899977052,51410.484356991146,-0.046259312955296214,-0.0060220739117857755
B_P12,-0.07392609951837137,-215953.26251841258,-0.18425550838391502,0.021142444524378315
B_P13,0.01718091447842307,-528912.0466088202,0.129633587757918,-0.007701645608326331
B_P14,-0.03384610001529794,183502.88665226038,0.4123998089983804,0.018625602382323973
B_P15,-0.04196087616113193,-92763.71275536438,0.13250537256142558,0.019510902542447184
B_P16,-0.0239587118922645,-55697.69299914513,-0.4425339896024113,-0.023924132481613417
B_P17,0.040626291119709904,406872.0085712469,-0.02880404863213354,0.020070657957840483
B_P18,0.018081801252381707,-193535.92638153728,0.14455824220336558,0.030760731329319384
B_P19,-0.0017913019554975766,469393.0967442018,-1.0478980416358978,0.01643805008750448
B_P20,0.004352353411908567,-89702.20513976035,0.03670431061420092,-0.03975137829201786
B_P21,-0.010983594391875597,107133.77145352392,0.5911576178966065,-0.010365404365472949
B_P22,-0.040424680144659386,-150527.11307536098,0.3661608470808297,0.006575022193193689
B_P23,-0.02648801018835194,153980.22993400684,0.038831019739216155,0.019372899810657786
B_P24,-0.03510265469386762,-98298.64397933046,-0.15684326125286308,-0.029270298962642372
B_P25,0.014806013853228803,78316.5816539668,0.0020453826569843602,-0.004691742667502948
B_P26,-0.07076853710252072,-126193.59682960772,-0.1370858066107078,-0.01604554538443238
B_P27,-0.008064285583300457,121215.25704436151,0.7544743604842121,0.0034915562566367794
B_P28,0.0128775195361382,-22333.77472985013,-0.7675084861196166,-0.0005302775089843375
B_P29,0.003011510497051322,738972.6337455858,-0.07694438591244901,0.006030946846672249
B_P30,-0.0017355884852621657,-350603.4112858596,0.45712912580600823,0.015038660653735483
