clone_id,productivity,stability,quality_potential
CLONE_0001,94.98532091051052,0.5787674061346084,0.631618279063338
CLONE_0002,28.888072152738495,0.8591250998386504,0.6623745768478605
CLONE_0003,145.75921058691193,0.6420475407953933,0.9526492200265254
CLONE_0004,20.464757411395542,0.5824926495866732,0.8407242966238473
CLONE_0005,82.33530258087632,0.7554639405521293,0.8827214412859286
CLONE_0006,252.9821513125102,0.849765915256266,0.8510883824600746
CLONE_0007,27.292844794777757,0.7842887837070249,0.8586043881392217
CLONE_0008,36.729916602664034,0.8714071917631097,0.6010291807533376
CLONE_0009,58.54267383444433,0.4836456527636748,0.9570976559932173
CLONE_0010,38.38117258598298,0.816528989520053,0.9754384988641661
CLONE_0011,18.44024673116043,0.3073183213196403,0.7655913883897959
CLONE_0012,57.28243787217079,0.6942841510527761,0.7934784575279207
CLONE_0013,25.95560037496947,0.7068174901896014,0.5703338746166416
CLONE_0014,76.05940665403406,0.7023319053250419,0.8771382134026753
CLONE_0015,28.685823213440333,0.6832535496431223,0.8858086162571217
CLONE_0016,161.5725202246326,0.7306294002845318,0.7906713474501034
CLONE_0017,31.554704656945805,0.5186056654107106,0.9686530039805754
CLONE_0018,43.57819622363192,0.7231259115445813,0.749888415353009
CLONE_0019,96.49218804425178,0.686411057745789,0.8846908888840401
CLONE_0020,23.066814398545624,0.777469334704025,0.6470503491961828
CLONE_0021,64.0216914103319,0.7304892409169704,0.7964671773688643
CLONE_0022,136.3192999872411,0.7294574594729709,0.7738468613145747
CLONE_0023,17.721201290684917,0.6457922829456866,0.8337961883061412
CLONE_0024,62.13091561015788,0.6739936274361124,0.7445709606749963
CLONE_0025,65.49134234551708,0.9201490442028477,0.7802791106492499
CLONE_0026,94.37498137744817,0.9427988280363945,0.923907075716226
CLONE_0027,22.968747840299816,0.8657817921054934,0.7344853644142675
CLONE_0028,21.664616871926178,0.7306410958372548,0.5590134348891982
CLONE_0029,78.67764769285947,0.6880760463855508,1.0
CLONE_0030,67.21451836303234,0.516256347352419,1.0
CLONE_0031,65.0622819672697,0.7675227686875786,0.6061605957341573
CLONE_0032,69.58254506892308,0.6179882339952757,0.9034561707867792
CLONE_0033,33.91924983260372,0.48479530136563626,0.7245537844172986
