clone_id,productivity,stability,quality_potential,G_platform,CN_true,CN_obs,k_decay_i
CLONE_0001,113.54678207898993,0.7128042587817451,0.8097741843596745,0.42296941606759236,2,2,0.052844266963604385
CLONE_0002,38.6449030362857,0.6111864463277586,0.8589956473454243,0.6658124992888093,3,3,0.043093215786089864
CLONE_0003,174.8146413484693,0.6160006587979193,0.7232954752820148,0.43607996269180693,2,2,0.04792335904635031
CLONE_0004,25.552413249888634,0.6037758593561062,0.6243904219470549,0.38997809277140444,3,2,0.08544818730083216
CLONE_0005,97.87786556103431,0.4579718843960071,0.9521437837547981,0.40068101609894313,2,3,0.054041815978664524
CLONE_0006,340.99272287799755,0.6120320845317737,0.8177812166510252,0.4041019759761536,5,5,0.04490525482547102
CLONE_0007,36.275798551411704,0.6132010744299086,0.8269641066200901,0.47930966281523557,4,4,0.03797621621616976
CLONE_0008,46.66088130319741,0.6076552441194014,0.606520073991869,0.45912631960816064,3,3,0.04876785211494535
CLONE_0009,76.82005681289658,0.8395053939211258,0.5811858758062936,0.5887072876528809,3,3,0.06024157623841823
CLONE_0010,52.26931267416251,0.6218835461244284,0.7545702881432962,0.5765743070136208,4,4,0.051738352591492
CLONE_0011,23.551317666375425,0.6139642478403707,0.6694519785913196,0.4804527500198698,3,3,0.0493299963084545
CLONE_0012,81.41899079387647,0.7102580087253989,0.8807623888140333,0.7476625653260017,4,4,0.05561286263731664
CLONE_0013,33.14010560813676,0.5432529213012364,0.857194589296002,0.47929525330860945,3,3,0.05517971434101381
CLONE_0014,97.39584142049681,0.7426202578529383,0.766878155825903,0.49094330961065424,3,3,0.059641037030873006
CLONE_0015,37.28588002546164,0.6872318677636714,0.859381544530599,0.3900513724413939,4,5,0.060039613344203796
CLONE_0016,215.48497915244243,0.7722348980022278,0.7796555005760055,0.4929531882208643,4,4,0.04890503914142483
CLONE_0017,40.76221106833108,0.6872102923657606,0.6315575903614927,0.5259990902027383,3,3,0.04829724130203111
CLONE_0018,54.51902274198111,0.8395691301576466,0.7133458166081583,0.3978390329926885,3,4,0.050010258906595606
CLONE_0019,122.50033601414773,0.84530789971299,0.7722423670304519,0.4564749431732212,3,3,0.05751757910863491
CLONE_0020,31.03884125095151,0.6729271267593903,0.8953429583539068,0.5285822442043514,4,4,0.06617560306288597
CLONE_0021,87.38206510986963,0.8118160699492879,0.7731206815256024,0.4542055929104734,5,5,0.04596152540420603
CLONE_0022,172.1835338504792,0.6442562591424033,0.6631104097783389,0.4361122087338225,3,3,0.047994720593516206
CLONE_0023,21.966422982112974,0.5569272786139016,0.9221691942116933,0.5680124465305889,2,2,0.040799071528464625
CLONE_0024,77.57085617309377,0.4043589824898037,0.7989736095644806,0.3896604235725832,3,3,0.03440525711891497
CLONE_0025,77.95668065027112,0.7427901829018824,0.9529327082589547,0.40594051279332016,2,2,0.03669221612548411
CLONE_0026,115.45780626437579,0.7326577447614132,0.7824606080542741,0.5155157091432329,2,2,0.038903851506594284
CLONE_0027,31.255924701322932,0.7923884506510148,0.6071429287802792,0.5735024881250682,4,4,0.04233359130014696
CLONE_0028,27.991204374782324,0.7451516681696365,0.9389642590056122,0.5267079020462389,3,3,0.056092020557284065
CLONE_0029,95.41294668193161,0.42801739088147983,0.6775861193056694,0.4804198832346698,2,2,0.038251712017127903
CLONE_0030,89.20294656336891,0.5116268868261357,0.7920260677334723,0.47330390704254,4,4,0.050221530187012364
CLONE_0031,85.34943811655656,0.7292487574949765,0.7993942039853166,0.5875035427571237,3,4,0.061650619703629145
CLONE_0032,94.71410690894038,0.8786063594603056,0.7697514915672593,0.5746015296140181,4,5,0.04063211701605503
CLONE_0033,45.366409114801435,0.8644838284376539,0.7268981216343217,0.5043616988928297,4,4,0.044214512685085174
CLONE_0034,81.94452037568215,0.7004805473483103,0.5069486680720032,0.47572745792614995,3,3,0.03594566037018571
CLONE_0035,75.99661449872477,0.6521240601008004,0.6293529375375455,0.50308627765939,1,1,0.03940502081780384
CLONE_0036,39.72108266138371,0.47088544076600125,0.9258682057543116,0.4367115071985563,2,2,0.07042210359430094
CLONE_0037,244.81627554345846,0.6425089508500673,0.8293911372439126,0.4868626549187789,2,2,0.056728174759601194
CLONE_0038,96.59563324421225,0.5373107246372815,0.9520016727937786,0.4572700241825023,3,3,0.08557659113805695
CLONE_0039,32.668081654012205,0.8181374463898003,0.5892680417685715,0.4911769943372297,5,5,0.041586374777363794
CLONE_0040,109.86111399401186,0.524433137972843,0.7478706275285605,0.4603858277668187,3,4,0.07290292688949039
CLONE_0041,40.587159297486714,0.5575057500572008,0.918953442460926,0.5457177391140964,7,7,0.041671492328109995
CLONE_0042,117.5061463031338,0.8502431259661917,0.6928368287463125,0.5711248263960496,2,2,0.04411190153535462
CLONE_0043,156.37481895611845,0.4100718108904527,0.6806296649847672,0.466823682900013,3,3,0.09875092181504419
CLONE_0044,38.76097881917955,0.7127016768176864,0.7038253961992695,0.42943471152451207,3,3,0.040579335091487284
CLONE_0045,139.68404125989449,0.5936624076138785,0.7009010490008223,0.5619469938926772,3,3,0.07434304323416065
CLONE_0046,103.88148343092303,0.6769896336474464,0.8238164200463249,0.5161607649726055,6,6,0.049601706148476477
CLONE_0047,136.68712889804104,0.7739248060586155,0.4697843568404803,0.46795457856352557,6,6,0.03819819229077828
CLONE_0048,272.2743568807249,0.6014872616002881,0.9761244592135576,0.6180886003143622,3,3,0.03496502102688588
CLONE_0049,60.67957467631885,0.5227851635601299,0.6003753649217994,0.4507200085209268,4,4,0.05133223514919219
CLONE_0050,39.64670404698228,0.37485868740785144,0.4156895050640358,0.33236059397933265,3,3,0.03775603834575257
CLONE_0051,35.15202593630184,0.748832777345679,0.7562610070188619,0.4383685690099258,2,2,0.046438869120064605
CLONE_0052,40.97453106684593,0.5374188739809133,0.7224919613581939,0.6379395786654197,3,3,0.031059101068756256
CLONE_0053,65.93168771509396,0.8304321857987929,0.7275486366275319,0.47222953190680345,3,3,0.05463234304617155
CLONE_0054,87.97868889782572,0.5706186125598134,0.798550803163385,0.4550209846443134,3,3,0.03400174118230633
CLONE_0055,80.80313065966335,0.7240201502144862,0.8641169882169448,0.502327756292362,2,2,0.04925454332332973
CLONE_0056,127.79792652447433,0.4114661114281955,0.9715446040305344,0.5875562324275412,3,4,0.0353774503958794
CLONE_0057,70.58523588808907,0.643472113549863,0.6538020574834069,0.49274675966225123,3,3,0.06793101924845395
