clone_id,process_condition,baseline_quality_score,process_quality_score,quality_score_gain,glycan_maturity,process_glycan_maturity,galactosylation_level,process_galactosylation_level,sialylation_capacity,process_sialylation_capacity,mannose_retention_risk,process_mannose_retention_risk,aggregation_propensity,process_aggregation_propensity,product_quality_consistency,process_quality_consistency,quality_response,stress_penalty,pred_late_qp,pred_qp_drop,pred_late_agg,pred_rescue_score,pred_rescue_label,is_aggressive,is_super,quality_pass,quality_risk_flag,production_score,combined_quality_utility,combined_quality_utility_guarded,obj_productivity,obj_stability,obj_quality,obj_risk_safety,obj_rescue_value,is_pareto,weighted_multiobj_score,pareto_rank,candidate_archetype
CLONE_1502,stress_minimized,0.9269553181740434,1.128323881351315,0.2013685631772716,0.9607785774942948,1.0,0.6720092012288843,0.6883622192588468,0.7778119059142365,0.7968148185851542,0.1978786753774372,0.1372436625471607,0.1377120151006046,0.0528229971382175,1.0,1.0,0.7127002566055298,-0.0639124922671107,2.711176723141549e-08,0.3813733635193206,9.583126621241991,0.5988218948822377,1,0,0,True,PASS,-0.7839907752535307,-0.0190649126115923,-0.0190649126115923,0.0005175155395622319,0.7962145340944788,0.9011375279528074,0.9224881723746573,0.5988218948823277,True,0.5829379588133977,14.0,Risk-safe
CLONE_1074,stress_minimized,-0.3207800122573784,-0.061981902979528,0.2587981092778503,0.5518163190206363,0.619199522806763,0.4518934085837168,0.470647182907817,0.3905176542058306,0.4145176542058306,0.3022394908608845,0.2348562870747577,0.3605809169997683,0.2662444316991909,1.0,1.0,0.8476640757225344,-0.1061556229325942,1.613794307091543e-07,0.3152300515208484,8.278448279406952,0.5869468851267324,1,0,0,True,PASS,0.3635564562651322,0.1933411125672681,0.1933411125672681,0.02487140146682257,0.8932958443738822,0.5341135940274702,0.7956441566299084,0.5869468851268207,True,0.4976902998288591,78.0,Stability-led
CLONE_0643,stress_minimized,0.271275992796159,0.5122425386006453,0.2409665458044863,0.8435827674570275,0.8977437525545537,0.7041808717852911,0.7192032419745085,0.9494224337346424,0.9681268543166262,0.4957570860730811,0.4415961009755548,0.4697154185440286,0.3938900394074918,0.8470626698463878,0.9120558519634192,0.5832197019505251,-0.1496793637994343,1.7799739038484538e-06,0.5336334291808685,6.340006173360644,0.4329671893667803,0,0,0,True,PASS,2.869520152044597,1.926609106667016,1.926609106667016,0.3184570954478913,0.5727360563612733,0.7111723937738861,0.6592771304344883,0.4329671893668454,True,0.5300657268519514,58.0,Mixed
CLONE_4067,stress_minimized,-0.5465645711341754,-0.3087859700914503,0.237778601042725,0.6734563934114257,0.7258561015869609,0.2314241457942749,0.250485137861088,0.700143031925286,0.7182690201644295,0.2937913208952209,0.2413916127196856,0.450517854828525,0.3771582633827757,0.4715783000465072,0.5344579498571495,0.5479941635107046,-0.127072012671165,1.5725825085265547e-06,0.591753741292262,7.905017136311523,0.486386620198454,0,0,0,True,PASS,1.5497090341985202,0.806311032482532,0.806311032482532,0.2808397998672447,0.48743043916217876,0.45801298121635636,0.7477467565669043,0.4863866201985272,True,0.4570419486015866,89.0,Mixed
CLONE_4843,stress_minimized,0.8032002857622483,1.0618323588736145,0.2586320731113661,0.8771356123761114,0.9349285812010446,0.8258508061863897,0.8429561052779577,0.7404814397690174,0.7612470489318387,0.2179154915748161,0.1601225227498828,0.1900901047674922,0.1091799484125855,0.824788967027938,0.894140529617858,0.6558593764986655,-0.107160310263896,7.29739360038093e-08,0.3561482244089398,3.1128931857850723,0.3937074700746866,0,0,0,True,PASS,1.1976513412817869,1.143323748318518,1.143323748318518,0.008836138190241056,0.8332385276446137,0.8806352499048438,0.8901747062931631,0.3937074700747458,True,0.5623543124136551,28.0,Risk-safe
CLONE_0030,stress_minimized,0.3152999522592261,0.4902915008095915,0.1749915485503653,0.7808396294563467,0.8313966346726811,0.4086415181774367,0.4250785454214576,0.7687349663811809,0.7845998122453316,0.0,0.0,0.3861695676363969,0.3153897603335286,0.7696255596412174,0.8302939659008187,0.5111401043266899,-0.1265762717752359,1.3419771807999753e-07,0.3336464162825793,3.1505623305984365,0.366940755885456,0,0,0,True,PASS,1.4977840347678586,1.0947870211845516,1.0947870211845516,0.0199410979854649,0.8662653742079255,0.704403917681547,0.8713796687002476,0.36694075588551117,True,0.5227374095511996,65.0,Risk-safe
CLONE_4616,stress_minimized,-0.0817570290900367,0.1443570230288894,0.2261140521189261,0.829638811001643,0.8846953672608006,0.5875626716935782,0.6033542618154981,0.6822511885850189,0.6988605740067269,0.5851031530406579,0.5300465967815003,0.5439585969778291,0.4668794182150085,0.9693790049149148,1.0,0.6011311251831508,-0.1072330784738604,2.3293673807412977e-07,0.3356499947122853,7.664887969300855,0.5927514331722026,1,0,0,True,PASS,0.5298998745981729,0.3756827339704595,0.3756827339704595,0.03785068818180628,0.863324638201118,0.5977370136079375,0.5934397039568013,0.5927514331722917,True,0.48174548640749926,82.0,Stability-led
CLONE_4629,stress_minimized,0.998246778026738,1.1651522311315687,0.1669054531048306,1.0,1.0,1.0,1.0,0.326150729696796,0.3485658722244266,0.1495225205121332,0.0897983329779727,0.155125514557114,0.0715116520092894,0.7484856425627882,0.8201546676037806,0.6944837506832087,-0.0873731186411091,3.692393119244699e-08,0.3474548692071799,4.01236314225121,0.3898078172476751,0,0,0,True,PASS,0.9478989738293246,1.0348002767502222,1.0348002767502222,0.0022972763219948223,0.8459981293066927,0.9124933375223004,0.9342155443186274,0.3898078172477337,True,0.5771252565110796,17.0,Risk-safe
CLONE_1145,stress_minimized,0.322898613615756,0.550100500129519,0.227201886513763,0.8180894108749956,0.8800879651826009,0.6112602227764695,0.6287016662052348,1.0,1.0,0.3711187531220588,0.3091201988144535,0.5403934036797696,0.4535954276491222,1.0,1.0,0.739971086152105,-0.0856704232424916,9.17841026684706e-08,0.2993541026179964,3.6641637442098296,0.2800658209554899,0,0,0,True,PASS,1.5290959331329683,1.1374977599315887,1.1374977599315887,0.012247984656906265,0.9165976397459271,0.7228456781967898,0.6889539582404308,0.280065820955532,True,0.4990550187270726,77.0,Stability-led
CLONE_4258,stress_minimized,0.4324885594445782,0.6738706847314322,0.241382125286854,0.7373806715991049,0.7911047621031838,0.8287196519865805,0.8461854991601913,0.7831722057604456,0.8011981811312531,0.1146053544275444,0.0608812639234654,0.6568191801018957,0.5816054533961852,0.8570521219930457,0.9215210305979404,0.5744818100815784,-0.1515700493215911,5.530059649358514e-07,0.6249193287615783,9.920198668778802,0.3570817756134817,0,0,0,True,PASS,-1.5359335703971833,-0.652011868345737,-0.652011868345737,0.09590583890027511,0.4387519168683185,0.7610095018572761,0.7379849797597922,0.35708177561353543,True,0.4531804350333876,90.0,Quality-led
