clone_id,process_condition,pareto_rank,candidate_archetype,weighted_multiobj_score,obj_productivity,obj_stability,obj_quality,obj_risk_safety,obj_rescue_value,pred_late_qp,pred_qp_drop,pred_late_agg,process_quality_score,quality_pass,pred_rescue_label,pred_rescue_score,recommendation
CLONE_4625,stress_minimized,1.0,Rescue-value,0.8325990125905969,0.9999998186168932,0.8306531282168442,0.698501736323647,0.6122867152089887,0.999999999999,5.537450196275659e-06,0.3579097053829755,8.834886556306435,0.4711499681707225,True,1,0.9999999999988496,Rescue-value Pareto candidate; consider process optimization follow-up.
CLONE_4878,stress_minimized,2.0,Balanced,0.7309001613241167,0.7968167615767611,0.6920424037211697,0.6638130750142959,0.7319836893939222,0.7769582994419211,4.417262871405833e-06,0.4523477838376789,10.140636893686418,0.3586501816701129,True,1,0.7769582994418042,Balanced Pareto candidate; strong overall tradeoff option.
CLONE_3895,mild_temp_shift,3.0,Risk-safe,0.6034424953049187,0.011833836170349573,0.8226746766370856,0.9860766154347588,1.0,0.38838255267706856,8.950082230044664e-08,0.3633455736318267,4.486685443009587,1.4037922576619382,True,0,0.3883825526770101,Low-risk Pareto candidate; useful for conservative development.
CLONE_3895,balanced_feed,4.0,Quality-led,0.6019177483228111,0.011833836170349573,0.8226746766370856,0.9896416958189083,0.9838932194790343,0.38838255267706856,8.950082230044664e-08,0.3633455736318267,4.486685443009587,1.415354271499763,True,0,0.3883825526770101,Quality-led Pareto candidate; useful when product quality is prioritized.
CLONE_3007,stress_minimized,5.0,Stability-led,0.6018469994802061,0.0005397772768608243,0.9922494867529066,0.9265342154035693,0.9673984589682227,0.26491846250440904,2.7234500476572538e-08,0.2478110846525194,6.409448945579114,1.2106886025077117,True,0,0.2649184625043692,Stability-led Pareto candidate; useful for long-term expression robustness.
CLONE_3527,stress_minimized,6.0,Risk-safe,0.6000090948783159,0.027291095389783113,0.8604884876251411,0.8578047881399388,0.9301168538060786,0.6575534363045626,1.7471966931984502e-07,0.3375823171323432,8.556851263463722,0.987790237404668,True,1,0.6575534363044637,Low-risk Pareto candidate; useful for conservative development.
CLONE_1591,stress_minimized,7.0,Quality-led,0.5981664884699789,0.04490176837913242,0.8317502572557218,0.977253650728653,0.8893943584063451,0.4062334006197971,2.718107011828022e-07,0.3571622108537792,4.642762837058293,1.3751782492720632,True,0,0.406233400619736,Quality-led Pareto candidate; useful when product quality is prioritized.
CLONE_2827,stress_minimized,8.0,Risk-safe,0.5957966999662001,0.013266694280230706,0.8985101877814715,0.8572325452205435,0.9567316357305662,0.5429677246111574,9.740044501706297e-08,0.3116774218552336,9.482412713404234,0.9859343800775624,True,0,0.5429677246110757,Low-risk Pareto candidate; useful for conservative development.
CLONE_3249,mild_temp_shift,9.0,Risk-safe,0.5926506383628287,0.030277619214910984,0.8818081788881471,0.8933157248727417,1.0,0.33876785602540643,1.911849503480225e-07,0.3230568128219704,3.1033733132847527,1.1029567687749644,True,0,0.3387678560253555,Low-risk Pareto candidate; useful for conservative development.
CLONE_1045,stress_minimized,10.0,Risk-safe,0.5896547606517326,0.04321421893170561,0.8597182991114531,0.8560261158814707,0.9187834080068674,0.5292279497853244,2.625069160708122e-07,0.3381070609683286,6.778769718409024,0.9820217746915142,True,0,0.5292279497852448,Low-risk Pareto candidate; useful for conservative development.
CLONE_1633,stress_minimized,11.0,Risk-safe,0.5874291899003521,0.00406796074037271,0.8479198058803428,0.9334381096572774,0.9638262636626083,0.3869137353846113,4.6686055410410875e-08,0.3461455950244842,4.5693371521428015,1.2330788187988075,True,0,0.3869137353845531,Low-risk Pareto candidate; useful for conservative development.
CLONE_3546,stress_minimized,12.0,Quality-led,0.5840194746706048,0.0007460865533958357,0.8406217322483862,0.9101265467237091,0.8765702601205035,0.5665412655590609,2.8371923251602133e-08,0.3511179090552389,10.585920879659175,1.1574764244130962,True,0,0.5665412655589757,Quality-led Pareto candidate; useful when product quality is prioritized.
