,omics_latent_1,omics_latent_2,omics_latent_3,omics_latent_4
tx_secretion_program,-0.16602725842044805,0.5315855800536674,-0.002486712891871454,0.24606164186890647
tx_stress_program,0.38321083921398935,0.023232341785826116,0.3361652802463113,-0.009734954448337767
tx_energy_metabolism,-0.2617077889563053,-0.29384716757782886,0.4962017039126989,0.08047230059614179
tx_growth_program,-0.33359943480230037,-0.029324013091777696,0.10577119463269512,0.05992947342612565
prot_secretory_capacity,-0.20636105595108198,0.47894905790979453,-0.09885522978150359,0.406191438480706
prot_folding_capacity,0.23860498537726982,0.2933973228104961,0.48413504610490443,-0.175087542656571
prot_mito_activity,-0.2129922718312937,-0.3310166006387985,0.4356253729270122,0.31248560889593036
prot_proteostasis_balance,-0.12068246858361634,0.43231182278413216,0.43216786348474434,-0.20230381052604113
met_glycolytic_shift,0.3947837912881315,0.036780492273546364,0.038842280365396525,0.23149694564395573
met_oxidative_state,-0.2987493017248642,-0.006619735234192873,0.017192918488006626,0.32547248328727013
met_nutrient_pressure,0.26940180699622557,-0.11931466194754735,0.000653306562403759,0.620801093621389
met_overflow_burden,0.41070054926711125,0.04581122736044957,0.0841467227378176,0.22394904608898236
