metric,n,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
raw_titer,150000,2.1588551452792153,2.1508331030973693,0.0,0.07753079351816308,0.369389384591572,0.935527220095234,1.5937099723678614,2.6608015661222844,5.699725457589717,10.838990025983268,55.36902972330502
raw_vcd,150000,13775329.387599973,3112932.5738811223,0.0,4845577.909261249,8253513.518044831,11961172.520685133,14030965.193597058,15880090.05677298,18381390.090639938,20190453.095893726,26933980.7639154
raw_viability,150000,96.59375770102133,2.262217705396444,66.15790157212335,90.01541175123299,92.71065237569687,95.27442661374184,96.80628309626249,98.20845372621345,100.0,100.0,100.0
raw_aggregation,150000,5.859650108546467,3.0972454078357115,0.0,0.0,1.3039905111156473,3.6375674632157047,5.6658028005913454,7.802238269538401,11.037313933158044,14.537687083142472,29.687275902195502
raw_ddpcr_cn,5000,3.3362,1.6194116397049152,0.0,1.0,1.0,2.0,3.0,4.0,6.0,9.0,15.0
late_mean_qp,5000,1.774095186163311e-07,1.2217534829379223e-06,1.2418338341579443e-09,7.194483163978231e-09,1.6603930208122088e-08,4.2562070404781504e-08,7.998417100840415e-08,1.540462447797966e-07,4.3871432049107406e-07,1.393409676663831e-06,7.851136874894827e-05
qp_drop_pct,5000,0.4339170730153397,0.2068494846138376,0.0,0.0,0.06170622525416293,0.29565238110875325,0.43955142898631816,0.5730864227389059,0.7703446572243647,0.9098045175459216,0.9817108956594134
late_mean_aggregation,5000,6.158599709361669,3.2812762732208456,0.0,0.545929318881605,1.2943934431192723,3.599848264227512,5.9176825682628955,8.379097749577983,11.960020592846835,14.34257754122455,19.307696838659933
latent_CN_true,5000,3.334,1.5748460331110472,1.0,1.0,1.0,2.0,3.0,4.0,6.0,8.010000000000218,15.0
latent_CN_obs,5000,3.3362,1.6194116397049152,0.0,1.0,1.0,2.0,3.0,4.0,6.0,9.0,15.0
latent_productivity,5000,96.14737629674686,85.71656839122707,7.0417144955578275,14.255867936813656,23.04022541001953,45.19095772003317,73.34406939237286,116.52930190890272,242.8376427940304,426.9872497611573,1820.9015024117969
latent_stability,5000,0.6171197424144401,0.14362651712079189,0.1176263064735253,0.24775141038342188,0.3589913874954799,0.5218729585116997,0.6299308015943704,0.721509912291261,0.8286404883615143,0.903963012969988,1.0
latent_quality_potential,5000,0.737696297757018,0.13834451056481184,0.2307621755597148,0.4011574487482381,0.501583708975208,0.6392178555278069,0.7457023784158314,0.8443362745359759,0.9436196668134268,0.9763201791592755,1.0
latent_is_aggressive,5000,0.0376,0.19024583752539542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
latent_is_super,5000,0.0158,0.12471355457262387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
