controller,reward,productivity_state,integrated_burden,stress_failure_risk,galactosylation,sialylation,scenario
No_Action,-0.1989162751823017,0.06678322330329865,0.28627132196555116,0.3238318191506454,0.7072855082961881,0.6610899507086988,baseline
RL,0.09431371350099532,0.08504409286851605,0.1750629630186854,0.17076168021805888,0.7321457352397948,0.6772527164864256,baseline
Rule,0.04919779194010264,0.26305671071555814,0.29751045240033386,0.2607521090057178,0.7072855082961881,0.6610899507086988,baseline
No_Action,-0.1989162751823017,0.06678322330329865,0.3721527185552166,0.3238318191506454,0.7072855082961881,0.6610899507086988,high_burden
RL,0.09431371350099532,0.08504409286851605,0.227581851924291,0.17076168021805888,0.7321457352397948,0.6772527164864256,high_burden
Rule,0.04919779194010264,0.26305671071555814,0.386763588120434,0.2607521090057178,0.7072855082961881,0.6610899507086988,high_burden
No_Action,-0.1989162751823017,0.06678322330329865,0.28627132196555116,0.4533645468109035,0.7072855082961881,0.6610899507086988,high_risk
RL,0.09431371350099532,0.08504409286851605,0.1750629630186854,0.23906635230528242,0.7321457352397948,0.6772527164864256,high_risk
Rule,0.04919779194010264,0.26305671071555814,0.29751045240033386,0.36505295260800497,0.7072855082961881,0.6610899507086988,high_risk
No_Action,-0.1989162751823017,0.06678322330329865,0.28627132196555116,0.3238318191506454,0.6011926820517599,0.6610899507086988,quality_drift
RL,0.09431371350099532,0.08504409286851605,0.1750629630186854,0.17076168021805888,0.6223238749538256,0.6772527164864256,quality_drift
Rule,0.04919779194010264,0.26305671071555814,0.29751045240033386,0.2607521090057178,0.6011926820517599,0.6610899507086988,quality_drift
No_Action,-0.1989162751823017,0.053426578642638924,0.28627132196555116,0.3238318191506454,0.7072855082961881,0.6610899507086988,low_productivity
RL,0.09431371350099532,0.06803527429481285,0.1750629630186854,0.17076168021805888,0.7321457352397948,0.6772527164864256,low_productivity
Rule,0.04919779194010264,0.21044536857244653,0.29751045240033386,0.2607521090057178,0.7072855082961881,0.6610899507086988,low_productivity
No_Action,-0.20043700383537547,0.06678322330329865,0.28627132196555116,0.3238318191506454,0.7072855082961881,0.6610899507086988,noisy_environment
RL,0.0955017389801108,0.08504409286851605,0.1750629630186854,0.17076168021805888,0.7321457352397948,0.6772527164864256,noisy_environment
Rule,0.04897658403887333,0.26305671071555814,0.29751045240033386,0.2607521090057178,0.7072855082961881,0.6610899507086988,noisy_environment
