clone_id,overall_score,score_productivity,score_quality,score_stability,omics_score,rl_robustness_score,decision,selection_reason,uncertainty_score,experimental_score,prediction_error,confidence_score,updated_score
CLONE_4625,59.32392365821394,100.0,69.8501736323647,83.06531282168443,17.302239505151018,58.42289461086479,Advance,exploit,,61.80749442327011,2.4835707650561645,97.51642923494384,60.06899488773079
CLONE_4878,51.05508444227361,79.67901521320374,66.38130750142959,69.20424037211697,11.83380821687394,63.761371957845505,Advance,exploit,,50.363762936417686,0.6913215058559246,99.30867849414408,50.84768799051683
CLONE_0080,42.12601933384872,0.296048871677585,89.43992634436906,88.80894864826537,27.907133514891804,72.04442950532908,Advance with Monitoring,exploit,,49.741168615888846,7.615149282040129,92.38485071795986,44.410564118460755
CLONE_3895,42.86293597148463,1.1703722315805307,98.96416958189084,82.26746766370856,28.517580132954468,79.47907422797432,Advance,exploit,,46.10137866198809,3.2384426905034616,96.76155730949654,43.83446877863567
CLONE_3269,39.71449448177784,3.635013515382711,88.24408909545937,87.79429461395057,26.77414261882441,66.74153417363561,Advance with Monitoring,exploit,,47.610558559314796,7.8960640775369555,92.10393592246305,42.083313705038925
CLONE_1633,40.895250639742024,0.3936822911513712,93.34381096572774,84.79198058803428,30.25737138206338,64.6809601461301,Advance with Monitoring,exploit,,39.724483766125346,1.170766873616678,98.82923312638331,40.54402057765702
CLONE_1591,39.03313688234016,4.477601471727066,97.7253650728653,83.17502572557218,21.86211444081412,60.42232576645873,Engineer,explore,93.24776360113823,42.8703105281047,3.837173645764544,96.16282635423545,40.18428897606952
CLONE_3249,40.267179404649525,3.014993727680349,89.33157248727417,88.18081788881472,23.48359876287283,67.73777252969093,Advance with Monitoring,exploit,,39.09649461990362,1.1706847847459017,98.8293152152541,39.91597396922575
CLONE_3186,39.34445050796506,4.5141965919170985,88.06635810859984,84.35319585332488,24.51139228528717,63.35712906556814,Engineer,engineer,83.55216151668274,40.554261865795226,1.2098113578301692,98.79018864216982,39.70739391531411
CLONE_4629,39.418285469309765,0.2165905018445139,91.24933375223004,84.59981293066927,27.003494863331913,65.47819551806491,Advance with Monitoring,explore,91.03274325038554,37.10119700524746,2.3170884640623086,97.68291153593769,38.723158930091074
