clone_process_id,policy,pseudo_time,action,cellular_archetype,rescue_potential,productivity_state,integrated_burden,oxidative_stress,er_stress_burden,stress_failure_risk,galactosylation,sialylation,overflow_burden,reward,dynamic_latent_1,dynamic_latent_2,dynamic_regime
0,no_action,0,no_action,Quality-Adapted,0.5842289461086478,0.9957589658009,0.5915566460789963,0.37607316596242446,0.6734733311305057,0.4390098995734936,0.7686769850024123,0.6457315093971475,0.5587285894844476,0.36320984113090005,2.0085823208492495,5.820161677301321,1
0,no_action,1,no_action,Quality-Adapted,0.5842289461086478,0.973848921706138,0.6267449606242771,0.39430005922140804,0.6917002243894893,0.4793565957808653,0.7499477508567723,0.6270022752515075,0.5973529535573294,0.3368717960989903,2.4633178539798486,5.757629883331858,1
0,no_action,2,no_action,Quality-Adapted,0.5842289461086478,0.9584535375119807,0.6629215620598381,0.43709735611951633,0.7344975212875976,0.5015339579433549,0.7302446866950866,0.6072992110898218,0.6305333912475631,0.31461489969410145,2.959081223890262,5.744636985572391,1
0,no_action,3,no_action,Quality-Adapted,0.5842289461086478,0.9274256814544121,0.7129681633458306,0.46504138945079543,0.7624415546188767,0.5373122524476502,0.7101853868732884,0.5872399112680236,0.6748406120382859,0.28294082474252924,3.516977069792125,5.6648762432393065,1
0,no_action,4,no_action,Quality-Adapted,0.5842289461086478,0.9069866860068656,0.7453937539507136,0.49228385487756615,0.7896840200456475,0.5840142845037294,0.6991926214726064,0.5762471458673416,0.7104060627476427,0.2596483397238163,3.979672629102424,5.628562546505112,1
0,no_action,5,no_action,Quality-Adapted,0.5842289461086478,0.8624008016146145,0.8182431516256191,0.521400341367416,0.8188005065354973,0.6420775348379474,0.6750455648744663,0.5521000892692015,0.7490343959737359,0.21683583824736244,4.680174284054892,5.467846715142154,1
0,no_action,6,no_action,Quality-Adapted,0.5842289461086478,0.8058954638445265,0.859072800564204,0.5488120258291251,0.8462121909972065,0.6982092630874148,0.6640863391125595,0.5411408635072947,0.7906251079921798,0.17986099620746934,5.259559267871817,5.25284632193425,1
0,no_action,7,no_action,Quality-Adapted,0.5842289461086478,0.7642073736354172,0.8927349281920092,0.5955976810987557,0.892997846266837,0.7539183533725308,0.6474374872166104,0.5244920116113456,0.8337703195601589,0.14634144407733135,5.895912460362792,5.112834410652757,1
0,no_action,8,no_action,Quality-Adapted,0.5842289461086478,0.7223350306759238,0.9481629964623749,0.6428920652931484,0.9402922304612297,0.8071306316209347,0.632575348848275,0.5096298732430102,0.8491084881662372,0.11265125564171634,6.519585915113616,4.946273575986491,1
0,no_action,9,no_action,Quality-Adapted,0.5842289461086478,0.6645436215658845,0.9869344613874461,0.6828211441932581,0.9802213093613394,0.8809344273439619,0.6239850221241786,0.5010395465189138,0.8724357270377401,0.07576886422002661,7.136040345157904,4.69596270670048,1
0,no_action,10,no_action,Quality-Adapted,0.5842289461086478,0.6109884126859195,1.0,0.7299485057796301,1.0,0.9565740768255495,0.6043110516563255,0.4813655760510607,0.9145998742997026,0.038406691381657906,7.734304139195313,4.435919739558665,1
0,no_action,11,no_action,Quality-Adapted,0.5842289461086478,0.5680369954665143,1.0,0.7770820672743067,1.0,1.0,0.5753259066751761,0.4523804310699114,0.932039480353536,0.008770186207193345,8.139382005153102,4.145495371252225,1
0,no_action,12,no_action,Quality-Adapted,0.5842289461086478,0.5092546680322715,1.0,0.8391315050013733,1.0,1.0,0.5542159872536271,0.4312705116483624,0.958586505100901,-0.018376745800410862,8.495298451685851,3.830508728233867,1
0,no_action,13,no_action,Quality-Adapted,0.5842289461086478,0.45675933062776564,1.0,0.8898797442142509,1.0,1.0,0.5183409661261925,0.3953954905209278,0.9844343572596675,-0.048749432589066014,8.865564466476263,3.5028804228632913,1
0,no_action,14,no_action,Quality-Adapted,0.5842289461086478,0.3857404416680571,1.0,0.9533482042994788,1.0,1.0,0.4881951808124438,0.3652497052071791,1.0,-0.08185137555601725,9.248284996591678,3.073867022601441,1
1,no_action,0,no_action,Quality-Adapted,0.637613719578455,0.7798330706133945,0.4887418524631112,0.4548845706833135,0.5030937630083823,0.3071052296802319,0.6126344303313382,0.4515374777611908,0.36338799278499084,0.28497248406057085,1.7089665415635205,3.6173655453222713,1
1,no_action,1,no_action,Quality-Adapted,0.637613719578455,0.7781473282690378,0.48155572096191895,0.44976005189285834,0.4979692442179271,0.3426309487997075,0.5985175470611735,0.4374205944910261,0.37632342215070824,0.2753058512942906,1.8301062620410746,3.5668995925510387,1
1,no_action,2,no_action,Quality-Adapted,0.637613719578455,0.7489096541958927,0.48974346226475474,0.4706857253493436,0.5188949176744124,0.3578819989203612,0.591657304705456,0.43056035213530847,0.38210287934482073,0.26061282046241313,2.0558559114157746,3.4186151017759854,1
1,no_action,3,no_action,Quality-Adapted,0.637613719578455,0.7460896327744977,0.5154095270693414,0.45522162971190255,0.5034308220369713,0.36130442243712624,0.5881825102789131,0.42708555770876566,0.3917084308232693,0.2535215913257288,2.112424375836818,3.4251315978563976,1
