clone_id,overall_score,score_productivity,score_quality,score_stability,omics_score,rl_robustness_score,decision
CLONE_4625,59.32392365821394,99.99999999999999,69.8501736323647,83.06531282168443,17.302239505151018,58.42289461086479,Advance
CLONE_4878,51.05508444227361,79.67901521320374,66.38130750142959,69.20424037211697,11.833808216873939,63.761371957845505,Advance
CLONE_3895,42.86293597148463,1.1703722315805307,98.96416958189084,82.26746766370856,28.517580132954468,79.47907422797432,Advance
CLONE_3895,42.63142518414841,1.1703722315805307,98.60766154347587,82.26746766370856,28.517580132954468,78.90260187649389,Advance with Monitoring
CLONE_3895,42.595721785903784,1.1703722315805307,98.96416958189084,82.26746766370856,26.736152229082144,79.47907422797432,Advance with Monitoring
CLONE_3895,42.364210998567565,1.1703722315805307,98.60766154347587,82.26746766370856,26.736152229082144,78.90260187649389,Advance with Monitoring
CLONE_0080,42.12601933384872,0.29604887167758503,89.43992634436906,88.80894864826537,27.907133514891804,72.04442950532908,Advance with Monitoring
CLONE_1633,40.895250639742024,0.39368229115137127,93.34381096572774,84.79198058803428,30.25737138206338,64.6809601461301,Advance with Monitoring
CLONE_3249,40.267179404649525,3.014993727680349,89.33157248727417,88.18081788881472,23.48359876287283,67.73777252969093,Advance with Monitoring
CLONE_3269,39.71449448177784,3.6350135153827114,88.24408909545937,87.79429461395057,26.77414261882441,66.74153417363561,Advance with Monitoring
CLONE_1371,39.65760656187063,0.7788509888229258,85.93709691190612,87.5227565755037,29.691647453778696,68.50954145376288,Advance with Monitoring
CLONE_4629,39.418285469309765,0.2165905018445139,91.24933375223004,84.59981293066927,27.003494863331913,65.47819551806491,Advance with Monitoring
CLONE_3186,39.34445050796506,4.5141965919170985,88.06635810859984,84.35319585332488,24.51139228528717,63.35712906556814,Engineer
CLONE_0678,39.31345987794156,3.0109172040157848,83.64366415996052,89.21705087401998,26.533721180332805,65.36074686246188,Engineer
CLONE_1591,39.03313688234016,4.477601471727066,97.7253650728653,83.17502572557218,21.862114440814118,60.42232576645873,Engineer
CLONE_3007,38.97662864942185,0.040817423718601156,92.65342154035692,99.22494867529066,11.224678860092913,51.81611294793402,Engineer
CLONE_2526,38.48366779432967,0.25969362425086917,80.62117658862171,84.94678667889718,27.089179691605676,68.4514136635278,Engineer
CLONE_0894,38.45727910402831,3.201970794830738,77.53160941188307,88.88726222629082,18.321967992344543,74.30955574844299,Engineer
CLONE_1502,38.351938273877906,0.03859095645522601,90.11375279528075,79.62145340944788,27.157775393973083,56.74354879475438,Engineer
CLONE_3826,38.033421335417245,3.718850756284927,84.55868473297087,89.59682742685048,19.077136366064,65.41596809817591,Engineer
CLONE_4425,37.88027675796117,1.9923209927297862,87.05763858093508,82.69278901513675,22.144867457329408,68.15724284147811,Engineer
CLONE_2985,37.408394236212494,0.5415831695166421,84.3428719936895,84.07638191190844,18.858403835466035,64.01719122552647,Engineer
CLONE_0834,37.281411382074566,5.982796858488476,77.8927211795186,86.55373733386386,23.478992430959757,59.34777545328286,Engineer
CLONE_4843,37.25944308805849,0.8705629072372953,88.06352499048438,83.32385276446136,21.327689904530143,62.14322627836517,Engineer
CLONE_1719,37.14808712493222,0.8995774558454848,92.18441931629852,73.06057959154926,21.74014282252951,61.871973206801755,Engineer
CLONE_2827,36.940119979767324,1.313676935607998,85.72325452205435,89.85101877814715,22.365906196841983,54.562154071687175,Engineer
CLONE_0908,36.737344513999176,1.3417414514806145,78.87147563894749,87.61156763716484,15.708050446681082,68.19376433227207,Engineer
CLONE_2723,36.58784564596918,7.876118997274227,73.24225850733987,84.23722962463773,20.136671640494168,69.21444077112446,Engineer
CLONE_1145,36.4493628184423,1.2117925410167203,72.28456781967898,91.65976397459272,20.27560240857222,66.80426479823677,Engineer
CLONE_3527,36.41136909857655,2.716301966172691,85.78047881399388,86.04884876251411,18.260070619115712,61.28309742296428,Engineer
CLONE_1045,36.39676478792112,4.308824275696624,85.60261158814707,85.97182991114532,15.712736197633747,64.28856753268586,Engineer
CLONE_1091,36.18652014344423,0.054765982204150805,81.82352802506934,83.12342360907665,17.252198536240044,57.16701743307742,Engineer
CLONE_1437,36.14339083561131,5.598173423220868,85.23929116210928,82.58064903454235,19.731967311188075,59.47617938353612,Engineer
CLONE_3239,36.10860744594343,1.6349002649406614,84.59127527318226,88.31591740089144,24.3923129322626,54.96691083484655,Engineer
CLONE_3546,36.07501202943109,0.061451071675846125,91.01265467237091,84.06217322483862,18.722093888674944,46.95945521132116,Engineer
CLONE_1361,36.02827769958798,2.555323589212211,67.51367502418574,91.7055816341954,20.923457300764316,64.18217125683037,Engineer
CLONE_0352,35.993137712706194,0.005185130483382525,75.11131317031654,91.57451751876387,19.7523162583716,60.720052158503094,Terminate
CLONE_1861,35.991405394663204,0.10233002376244077,87.7182955993949,84.16457656317469,24.239621947759087,53.72043612345478,Terminate
CLONE_3019,35.955182136167416,2.4508572311453056,76.32321267848523,89.34132211706444,20.89977389673652,62.83744095909278,Terminate
CLONE_4119,35.8543895626069,7.58595953161614,80.96957911262555,86.59510781045407,21.874081277118236,53.00852553745676,Terminate
CLONE_0197,35.84106568850144,2.6964702838871726,76.06608801242596,86.73055506747576,21.88496432107178,67.33927430747664,Terminate
CLONE_1875,35.759493707506735,1.4967323170597155,69.25618743554304,88.068056875742,24.524884188792804,66.61604477706618,Terminate
CLONE_0654,35.62961415891545,4.379162782237918,80.97186441722636,83.84967284823914,15.517541211149375,55.703867168646596,Terminate
CLONE_4839,35.38565197698646,1.3144103517333878,84.84001917644582,77.26645473451947,19.580937809194047,60.51281918586111,Terminate
CLONE_0150,35.1067145948817,1.085376509960848,86.75538882979251,70.16074094838928,16.814870487396863,67.65279408028712,Terminate
CLONE_3822,35.092444499115565,5.295769968036637,62.40136554515565,100.0,15.090596329500523,69.77184208071253,Terminate
CLONE_4292,35.01881566002467,1.349540355908253,75.69176332547336,90.79561737441611,17.40037981820569,61.811130382053136,Terminate
CLONE_3146,34.96667927448931,9.54361483749757,66.74451878613685,87.9129127156882,20.3630679504845,58.40376182507334,Terminate
CLONE_4059,34.90867536395856,11.248775109715945,73.62982024958214,82.80887448193945,17.338692407426628,60.8600323998959,Terminate
CLONE_0319,34.85698903204879,0.0,91.00888472395998,64.54301000547963,22.828463348127997,53.77226971673178,Terminate
CLONE_2806,34.841403390055746,1.4197023455819127,91.05952462698488,75.90182153127226,18.057392074153462,48.91174068766474,Terminate
CLONE_1558,34.80496542677974,9.113952877839113,85.32066365120185,72.63288392942981,14.606813229457854,60.08328295545401,Terminate
CLONE_2520,34.624379476969885,2.402753500943377,75.68095392249793,84.69585937851367,13.736599828454551,61.98394057922545,Terminate
CLONE_2751,34.56300468486856,0.6728194886734911,90.53869701334835,81.19085944277536,16.00784604997635,51.183447468665165,Terminate
CLONE_2759,34.31260362228479,14.222274945480628,66.15752602319627,93.97365018654372,9.134841426629052,58.07502097817602,Terminate
CLONE_3750,34.2245571359601,4.497333941195654,81.80074430754112,87.1940688666652,15.897283169305986,52.828753570270116,Terminate
CLONE_1973,34.2176378740161,2.6052702111428188,68.67900661915401,87.88861752536262,16.32124294121914,65.24669219849302,Terminate
CLONE_0231,34.11612330008895,3.118212553208662,73.57661517366239,92.22368669697673,20.22896833673853,56.58165775751078,Terminate
CLONE_3290,34.087641003342945,14.135847527045584,72.64042282319556,75.21515814707847,10.581197213211809,61.10967613008162,Terminate
CLONE_1245,34.0377457039196,6.630794614442655,70.88460293866143,85.917308073672,15.265160832201985,61.661014790405886,Terminate
CLONE_0643,33.807573482353185,31.836741159311078,71.11723937738861,57.273605636127336,12.544118188310454,49.0426170638529,Terminate
CLONE_2324,33.56261637225393,3.107345764432193,72.13322552049917,90.95002395922648,19.438950873601417,58.79897138126147,Terminate
CLONE_2358,33.49492263457819,8.028365127062397,65.86059292719834,89.45223445719098,13.744099114251467,61.6019337001513,Terminate
CLONE_1748,33.29998015730582,4.836124120625907,67.50079215185772,84.38746942724784,18.568140553177134,61.63057427010161,Terminate
CLONE_0550,33.14181201478025,4.87058158406747,67.932960649541,87.55717843946232,16.893258769527787,54.07907283809038,Terminate
CLONE_0486,33.092198373508694,9.228623388409318,69.26530929700353,71.85088075324944,22.217453227874486,62.555678276591976,Terminate
CLONE_0469,32.95955563709233,2.98918117236349,70.09182723123631,85.43052553740728,18.88434393212602,62.333369721000864,Terminate
CLONE_0492,32.90787870480801,0.41517438405818297,79.87662420692394,63.35673655494377,18.492026573957567,72.36860167689653,Terminate
CLONE_1074,32.89062347035349,2.474300668852548,53.41135940274702,89.32958443738822,22.64608926679447,73.49054790343507,Terminate
CLONE_0151,32.86941151165369,6.813617076252468,64.83350021474611,90.79363504720087,17.44618317103524,53.51513004987276,Terminate
CLONE_0545,32.6970848249065,0.48668874432657055,59.03253970199416,86.09720204354326,23.913229903686887,61.44822847394619,Terminate
CLONE_4441,32.325901980281024,0.2137883319940079,80.93100346923563,73.80752823480734,12.504770882882427,52.33459920605562,Terminate
CLONE_2665,32.269316559705665,1.0582613467442332,68.0389841622579,87.6394096784067,15.181497193344178,59.17948529501702,Terminate
CLONE_3505,32.22188777701551,12.839660965319837,60.213083376016996,74.11816100472643,15.648633380290383,65.15911532061477,Terminate
CLONE_0734,32.07554344290168,5.0544035358050525,80.08431101882245,76.123037529274,10.114588618516203,58.72028944577566,Terminate
CLONE_2233,31.935150822740482,3.7246284284318056,51.368768165208756,94.4586587818788,19.929120827152953,65.59942814723895,Terminate
CLONE_1116,31.709153856767117,9.72615107098595,71.95320564839707,69.32457818483442,9.93284117498063,65.32328029134402,Terminate
CLONE_0030,31.599596820388324,1.9812053118948618,70.4403917681547,86.62653742079254,18.020731400410533,51.02497972047958,Terminate
CLONE_2532,31.51327435216165,7.083310930760126,70.13046035590091,77.59783206676735,11.769552861015075,57.55314692398231,Terminate
CLONE_0427,31.49148215256121,3.157971448899389,56.97778273739028,91.13031937453658,18.420838167824304,60.48765038195374,Terminate
CLONE_1747,31.486711921092777,3.816555459030874,60.615589767053976,82.97258749314601,18.316585570762538,65.10910488292483,Terminate
CLONE_3867,30.89239183000314,3.535639250431987,55.17756206210889,88.9653259445945,20.181709051944914,60.57323249484215,Terminate
CLONE_4614,30.717299665348648,2.627380794086864,71.95235041529334,86.85898862870027,9.221275392177809,48.50953132181305,Terminate
CLONE_0430,29.996360899087644,0.17572480514475422,77.9721515833731,68.77302291983408,15.23127725403001,46.141688101315495,Terminate
CLONE_4616,29.60307858695146,3.772400479539791,59.77370136079375,86.3324638201118,11.101944073209465,51.06284822776275,Terminate
CLONE_3602,29.51068848425059,7.1589644151354195,68.18282273795705,84.46722079765628,5.566361123946972,42.5795459827418,Terminate
CLONE_0531,29.201328674387202,13.209379143549414,55.063539811761416,76.28735887037483,13.426783343987214,51.644075279837494,Terminate
CLONE_1834,28.76401796243855,5.357472029291771,45.00647483900646,89.98367873780788,21.77639207404761,54.73512320514266,Terminate
CLONE_4067,28.566853398539667,28.07451559606566,45.80129812163563,48.74304391621787,16.364914918085088,57.088093945619676,Terminate
CLONE_2179,28.198262300615895,2.6862263882198336,56.45858604040518,83.09293638263459,11.736077719935011,48.58887494353133,Terminate
CLONE_3193,27.96148202894325,13.108206520568395,58.25420417293198,63.73271412196004,10.331621163837797,55.953244182761566,Terminate
CLONE_4258,27.840970477903603,9.578681041172205,76.10095018572761,43.87519168683185,16.605914226359104,56.89111512270755,Terminate
CLONE_2935,27.496616274230256,6.623605141839776,61.61884012691712,59.912238232944745,11.941234523844784,58.84963486214815,Terminate
CLONE_4926,27.1410092646774,4.724725768752817,44.00421230300967,86.57874825659047,14.388885744372054,56.04767168604587,Terminate
