clone_id,overall_score,score_productivity,score_quality,score_stability,omics_score,rl_robustness_score,decision,bottleneck,recommended_intervention,post_engineering_score,engineering_gain
CLONE_4625,59.32392365821394,100.0,69.8501736323647,83.06531282168443,17.302239505151018,58.42289461086479,Advance,omics,PDI_folding_support,75.31735196423641,15.993428306022466
CLONE_4878,51.05508444227361,79.67901521320374,66.38130750142959,69.20424037211697,11.83380821687394,63.761371957845505,Advance,omics,PDI_folding_support,65.77855583993124,14.723471397657633
CLONE_3895,42.86293597148463,1.1703722315805307,98.96416958189084,82.26746766370856,28.517580132954468,79.47907422797432,Advance,productivity,XBP1s_secretory_support,60.658313047686015,17.795377076201383
CLONE_3895,42.63142518414841,1.1703722315805307,98.60766154347588,82.26746766370856,28.517580132954468,78.90260187649389,Advance with Monitoring,productivity,XBP1s_secretory_support,62.177484896964465,19.546059712816053
CLONE_3895,42.595721785903784,1.1703722315805307,98.96416958189084,82.26746766370856,26.736152229082144,79.47907422797432,Advance with Monitoring,productivity,XBP1s_secretory_support,58.62741503645711,16.031693250553325
CLONE_3895,42.364210998567565,1.1703722315805307,98.60766154347588,82.26746766370856,26.736152229082144,78.90260187649389,Advance with Monitoring,productivity,XBP1s_secretory_support,58.39593708466921,16.031726086101642
CLONE_0080,42.12601933384872,0.296048871677585,89.43992634436906,88.80894864826537,27.907133514891804,72.04442950532908,Advance with Monitoring,productivity,XBP1s_secretory_support,61.784444964863496,19.65842563101478
CLONE_1633,40.895250639742024,0.3936822911513712,93.34381096572774,84.79198058803428,30.25737138206338,64.6809601461301,Advance with Monitoring,productivity,XBP1s_secretory_support,58.930120098047844,18.03486945830582
CLONE_3249,40.267179404649525,3.014993727680349,89.33157248727417,88.18081788881472,23.48359876287283,67.73777252969093,Advance with Monitoring,productivity,XBP1s_secretory_support,55.82823063277962,15.561051228130097
CLONE_3269,39.71449448177784,3.635013515382711,88.24408909545937,87.79429461395057,26.77414261882441,66.74153417363561,Advance with Monitoring,productivity,XBP1s_secretory_support,57.29961456894977,17.58512008717193
CLONE_1371,39.65760656187063,0.7788509888229258,85.93709691190612,87.5227565755037,29.691647453778696,68.50954145376288,Advance with Monitoring,productivity,XBP1s_secretory_support,55.2307711762457,15.573164614375074
