clone_id,overall_score,score_productivity,score_quality,score_stability,omics_score,rl_robustness_score,decision,selection_reason,uncertainty_score,experimental_score,prediction_error,confidence_score,updated_score
CLONE_4625,59.32392365821394,100.0,69.8501736323647,83.06531282168443,17.302239505151018,58.42289461086479,Advance,exploit,,61.80749442327011,2.4835707650561645,97.51642923494384,60.06899488773079
CLONE_4878,51.05508444227361,79.67901521320374,66.38130750142959,69.20424037211697,11.83380821687394,63.761371957845505,Advance,exploit,,50.363762936417686,0.6913215058559246,99.30867849414408,50.84768799051683
CLONE_0080,42.12601933384872,0.296048871677585,89.43992634436906,88.80894864826537,27.907133514891804,72.04442950532908,Advance with Monitoring,exploit,,49.741168615888846,7.615149282040129,92.38485071795986,44.410564118460755
CLONE_3895,42.86293597148463,1.1703722315805307,98.96416958189084,82.26746766370856,28.517580132954468,79.47907422797432,Advance,exploit,,46.10137866198809,3.2384426905034616,96.76155730949654,43.83446877863567
CLONE_3269,39.71449448177784,3.635013515382711,88.24408909545937,87.79429461395057,26.77414261882441,66.74153417363561,Advance with Monitoring,exploit,,47.610558559314796,7.8960640775369555,92.10393592246305,42.083313705038925
CLONE_1633,40.895250639742024,0.3936822911513712,93.34381096572774,84.79198058803428,30.25737138206338,64.6809601461301,Advance with Monitoring,exploit,,39.724483766125346,1.170766873616678,98.82923312638331,40.54402057765702
CLONE_1591,39.03313688234016,4.477601471727066,97.7253650728653,83.17502572557218,21.86211444081412,60.42232576645873,Engineer,explore,93.24776360113823,42.8703105281047,3.837173645764544,96.16282635423545,40.18428897606952
CLONE_3249,40.267179404649525,3.014993727680349,89.33157248727417,88.18081788881472,23.48359876287283,67.73777252969093,Advance with Monitoring,exploit,,39.09649461990362,1.1706847847459017,98.8293152152541,39.91597396922575
CLONE_3186,39.34445050796506,4.5141965919170985,88.06635810859984,84.35319585332488,24.51139228528717,63.35712906556814,Engineer,engineer,83.55216151668274,40.554261865795226,1.2098113578301692,98.79018864216982,39.70739391531411
CLONE_4629,39.418285469309765,0.2165905018445139,91.24933375223004,84.59981293066927,27.003494863331913,65.47819551806491,Advance with Monitoring,explore,91.03274325038554,37.10119700524746,2.3170884640623086,97.68291153593769,38.723158930091074
CLONE_3826,38.033421335417245,3.718850756284927,84.55868473297087,89.59682742685048,19.077136366064,65.41596809817591,Engineer,engineer,80.83983397668595,39.60465799839361,1.5712366629763679,98.42876333702364,38.50479233431015
CLONE_3007,38.97662864942185,0.0408174237186011,92.65342154035692,99.22494867529066,11.224678860092911,51.81611294793402,Engineer,explore,92.61260411663831,36.62925671974709,2.3473719296747575,97.65262807032525,38.27241707051942
CLONE_1719,37.14808712493222,0.8995774558454848,92.18441931629852,73.06057959154926,21.74014282252951,61.871973206801755,Engineer,explore,91.28484186045303,39.86088734286204,2.712800217929825,97.28719978207018,37.961927190311165
CLONE_0894,38.45727910402831,3.201970794830738,77.53160941188307,88.88726222629082,18.321967992344543,74.30955574844299,Engineer,engineer,74.32963861705232,35.645841457823444,2.8114376462048654,97.18856235379513,37.613847810166845
CLONE_1502,38.351938273877906,0.038590956455226,90.11375279528076,79.62145340944788,27.157775393973083,56.74354879475438,Engineer,engineer,90.07516183882554,33.287782672205786,5.06415560167212,94.93584439832787,36.83269159337627
CLONE_4425,37.88027675796117,1.9923209927297865,87.05763858093508,82.69278901513675,22.144867457329408,68.15724284147811,Engineer,engineer,85.06531758820529,33.34015638035511,4.540120377606058,95.45987962239394,36.51824064467935
CLONE_0678,39.31345987794156,3.0109172040157848,83.64366415996052,89.21705087401998,26.533721180332805,65.36074686246188,Engineer,engineer,80.63274695594474,29.74705865465257,9.566401223288992,90.43359877671101,36.443539510954864
CLONE_2526,38.48366779432967,0.2596936242508691,80.62117658862171,84.94678667889718,27.089179691605676,68.4514136635278,Engineer,engineer,80.36148296437084,29.859078631764504,8.624589162565165,91.37541083743483,35.89629104556012
CLONE_2985,37.408394236212494,0.5415831695166421,84.3428719936895,84.07638191190844,18.858403835466035,64.01719122552647,Engineer,engineer,83.80128882417286,30.346875729536038,7.061518506676457,92.93848149332354,35.28993868420956
CLONE_0319,34.85698903204879,0.0,91.00888472395998,64.54301000547963,22.828463348127997,53.77226971673178,Terminate,explore,91.00888472395998,32.5283402641975,2.328648767851284,97.67135123214871,34.1583944016934
