clone_process_id,pseudo_time,cellular_archetype,productivity_signal,integrated_burden,oxidative_stress,er_stress_burden,stress_failure_risk,galactosylation,sialylation,overflow_burden,rescue_potential,dynamic_latent_1,dynamic_latent_2,dynamic_regime
0,0,Quality-Adapted,0.0,0.5537804909625347,0.37607316596242446,0.6734733311305057,0.4300732284389525,0.7686769850024123,0.6457315093971475,0.5579063855943931,0.5842289461086478,3.1720834778815052,0.4535193031151627,3
0,1,Quality-Adapted,0.0,0.529256501623178,0.39904783028154633,0.6964479954496275,0.4331668956757655,0.7583101785574652,0.6353647029522004,0.5705462063835844,0.5842289461086478,3.258219781449004,0.41137983713773557,3
0,2,Quality-Adapted,0.0,0.5376938883149844,0.4309247627413011,0.7283249279093823,0.4366824322471688,0.7582350625412851,0.6352895869360203,0.5967290553387044,0.5842289461086478,3.48573162464602,0.3823077077747012,3
0,3,Quality-Adapted,0.0,0.5212476439395948,0.457873432734103,0.7552735979021842,0.43937565659980266,0.7540781908455099,0.6311327152402451,0.6170797019864257,0.5842289461086478,3.615937892556138,0.34538927642765094,3
0,4,Quality-Adapted,0.004812389178545207,0.5155599641698991,0.4688651049802705,0.7662652701483517,0.4417844969639517,0.7382440878163337,0.6152986122110689,0.6334188223315905,0.5842289461086478,3.7100139832329457,0.2839617586226674,3
0,5,Quality-Adapted,0.0,0.5081201675926527,0.4982611477976675,0.7956613129657486,0.44382134749923846,0.7275330221114971,0.6045875465062323,0.6580518390653755,0.5842289461086478,3.911755851945258,0.23704467860989403,3
0,6,Quality-Adapted,0.0,0.538860500454257,0.5139433282591462,0.8113434934272273,0.4473952146776054,0.7030871008673519,0.5801416252620871,0.6857660533093007,0.5842289461086478,4.188853335360213,0.16056062395913592,3
0,7,Quality-Adapted,0.0,0.5559481997638746,0.5363809651719691,0.8337811303400502,0.45182346682145325,0.6777499857256992,0.5548045101204344,0.7145099091781028,0.5842289461086478,4.462173298254308,0.07798312896845937,3
0,8,Quality-Adapted,0.0,0.5686688308786507,0.5703918286157379,0.867791993783819,0.45688775052103986,0.661857414125985,0.5389119385207202,0.7384235205046561,0.5842289461086478,4.74096571733598,0.01997973282511894,3
0,9,Quality-Adapted,0.0,0.5746998342645521,0.610680249599687,0.9080804147677681,0.4622535843899216,0.648731821754134,0.5257863461488692,0.7620873045701271,0.5842289461086478,5.021337375793077,-0.03361542857834244,3
